,d_1,e_1,f_1,c_1,b_1,a_1,h_1,d_0,g_1,c_0,f_0,b_0,h_0,a_0,e_0,g_0
d_1,110.02,15.55,12.98,15.15,28.13,79.87,2335.97,,3190.28,7823.56,7796.65,5884.32,16225.8,24904.33,16682.75,22159.57
e_1,11.01,115.52,10.37,16.77,27.66,67.65,2304.18,5819.95,4189.58,4544.07,6990.73,7464.66,17187.88,17576.64,,24474.05
f_1,12.3,20.86,121.99,16.59,20.89,75.94,2159.93,3704.43,4637.06,4466.22,,7319.5,12779.19,16874.92,15871.97,24640.3
c_1,11.39,13.49,13.17,136.36,37.68,60.88,1734.67,2959.87,3679.57,,6252.52,5553.95,22715.85,15839.76,,33155.6
b_1,8.83,9.0,12.26,11.94,217.11,75.78,1945.43,2652.29,2904.6,3465.03,4559.01,,13424.39,14009.91,19621.08,24322.5
a_1,6.75,7.39,5.92,8.04,15.49,436.5,1335.8,2569.75,2335.83,2994.63,4864.4,4313.35,10915.95,,,15589.98
h_1,5.85,4.54,8.46,7.54,11.75,22.37,3529.64,1601.59,2532.12,1888.58,2482.45,2576.96,,9173.81,10862.36,13392.51
d_0,,5.86,5.93,12.0,16.41,33.85,803.82,4154.1,1378.81,1796.09,2776.47,2595.58,7350.16,8168.43,9425.89,11664.29
g_1,5.7,3.88,3.9,5.21,9.84,21.17,527.47,1448.91,5768.58,2011.93,3549.49,3088.08,6472.5,,8029.38,
c_0,4.09,5.13,6.31,,9.01,20.51,1076.86,1700.45,1235.7,4852.77,2852.04,5202.89,8230.28,6417.21,8389.47,13676.25
f_0,4.13,3.61,,7.05,13.29,19.14,870.16,1396.49,1520.92,1323.17,6674.5,2748.41,6347.22,6789.03,13040.53,9337.06
b_0,4.36,4.3,4.77,5.64,,18.24,865.53,1630.53,1420.91,1124.99,2340.89,7023.01,7126.14,14189.61,7424.34,8257.75
h_0,5.64,4.17,7.18,4.64,9.13,17.97,,1473.31,1400.38,1229.6,2295.3,2553.33,,6298.52,6888.26,10167.75
a_0,2.43,4.35,3.77,3.46,5.45,,645.03,1025.68,,1317.84,2114.62,1110.71,4327.06,16260.29,,6196.25
e_0,3.86,,4.28,,6.38,,481.22,1199.92,1024.57,1154.4,1363.17,1559.16,5551.26,,17552.19,6958.04
g_0,5.31,3.27,3.9,3.47,6.92,18.99,628.08,988.61,,1456.47,2816.52,2339.67,5568.54,6373.76,6057.41,
