,e_1,f_1,d_1,c_1,b_1,a_1,h_1,g_1,d_0,c_0,f_0,b_0,h_0,e_0,g_0,a_0
e_1,1.55,0.96,0.87,1.26,1.03,0.81,1.16,1.13,1.78,1.15,1.28,1.18,1.25,0.95,1.22,1.12
f_1,1.51,1.56,0.94,0.98,0.99,0.67,1.05,1.04,1.23,1.16,0.99,1.13,1.16,0.73,1.05,0.99
d_1,1.1,1.14,1.57,0.86,0.91,0.81,1.24,1.03,1.1,1.69,1.17,1.34,1.28,1.09,1.24,1.09
c_1,0.84,1.03,1.09,1.57,1.39,0.97,1.09,1.08,0.98,0.88,1.07,0.88,1.26,0.95,1.07,0.96
b_1,1.0,1.08,1.05,0.96,1.6,1.39,1.2,1.14,1.18,1.17,1.04,0.93,1.37,1.04,1.25,0.84
a_1,1.17,1.23,1.15,1.02,0.95,1.75,1.41,1.2,1.28,1.35,1.3,1.34,1.42,1.16,1.35,0.89
h_1,1.2,1.56,1.3,1.27,1.07,0.93,1.88,1.57,1.34,1.46,1.4,1.45,1.42,1.12,1.71,1.17
g_1,1.09,1.22,1.63,1.37,1.15,0.99,1.33,1.91,1.2,1.45,1.96,1.54,1.59,1.35,1.48,1.24
d_0,1.09,1.23,1.06,2.0,1.37,1.05,1.47,1.47,1.83,1.14,1.57,1.27,1.53,1.22,1.5,1.21
c_0,1.39,1.37,1.32,1.3,1.04,1.05,1.58,1.57,1.75,1.85,1.72,2.26,1.85,1.32,1.53,1.64
f_0,0.99,1.23,1.51,1.41,1.28,1.22,1.57,1.31,1.43,1.51,1.87,1.49,1.52,2.28,1.49,1.44
b_0,1.31,1.43,1.33,1.48,1.12,0.96,1.55,1.61,1.62,1.3,1.7,1.88,1.85,1.35,1.57,2.17
h_0,1.35,1.69,1.46,1.38,1.22,1.04,1.46,1.82,1.52,1.33,1.58,1.44,1.52,1.28,1.89,1.36
e_0,1.11,1.49,1.41,1.56,1.29,1.27,1.84,1.65,1.63,1.55,1.27,1.6,1.91,2.01,1.63,1.3
g_0,1.28,1.38,1.77,1.45,1.26,1.1,1.57,1.47,1.48,1.78,2.09,1.6,1.58,1.61,1.62,1.29
a_0,1.39,1.49,1.51,1.41,1.38,1.07,1.71,1.8,1.46,1.43,1.47,1.41,1.89,1.55,1.68,1.96
