,f_1,e_1,c_1,d_1,b_1,a_1,h_1,d_0,g_1,c_0,b_0,f_0,h_0,a_0,e_0,g_0
f_1,11.92,1.59,0.59,0.54,0.57,0.46,0.95,0.93,0.74,0.98,0.95,0.61,0.82,1.0,0.74,1.01
e_1,0.74,11.81,0.92,0.55,0.55,0.67,0.93,2.3,0.9,0.91,0.98,1.15,0.96,0.85,0.79,0.9
c_1,0.6,0.58,13.21,0.64,1.69,0.61,0.82,0.81,0.8,0.44,0.71,0.86,0.91,0.93,0.68,0.94
d_1,0.66,0.62,0.48,16.12,0.56,0.75,0.89,0.55,1.1,2.31,1.28,0.87,1.13,1.03,0.88,0.96
b_1,0.65,0.48,0.64,0.77,15.4,1.63,0.98,0.68,0.84,0.78,0.49,0.99,0.95,0.67,0.87,1.06
a_1,0.65,0.51,0.74,0.82,0.57,24.45,1.15,0.91,1.06,0.87,0.93,1.15,1.0,0.53,1.28,0.91
h_1,1.24,0.67,0.72,0.83,0.67,0.62,3.36,0.91,1.37,0.98,1.17,0.94,0.71,1.09,1.24,1.47
d_0,0.72,0.59,2.33,0.47,0.72,0.7,0.85,2.07,1.09,0.75,1.29,1.07,1.31,1.17,1.35,1.05
g_1,0.71,0.6,0.74,1.46,0.73,0.63,0.98,0.75,4.78,0.95,1.05,1.95,1.22,1.18,1.39,0.76
c_0,0.83,0.69,0.51,0.93,0.54,0.61,1.18,1.09,1.21,2.62,3.91,1.13,1.4,1.91,1.46,1.24
b_0,0.83,0.75,0.95,0.78,0.49,0.5,1.17,1.21,1.03,1.0,2.81,1.23,1.42,3.46,1.42,1.11
f_0,0.53,0.56,0.88,0.89,0.9,0.69,1.19,1.21,1.18,0.93,1.12,3.27,1.8,1.52,4.32,0.97
h_0,1.41,0.82,0.61,0.91,0.64,0.63,0.71,0.87,1.61,0.84,1.16,1.06,0.7,0.97,1.28,1.49
a_0,0.86,0.9,0.88,0.86,0.71,0.45,0.96,1.13,1.1,1.23,0.82,1.07,1.39,3.58,1.31,1.31
e_0,0.67,0.41,0.93,1.13,0.81,0.75,1.1,0.77,1.49,1.25,1.37,1.0,1.39,1.19,3.46,1.1
g_0,0.64,0.6,0.8,1.78,0.84,0.69,0.97,0.94,0.75,0.97,0.99,2.02,1.05,0.95,1.61,0.79
