,e_1,f_1,c_1,d_1,b_1,a_1,h_1,g_1,d_0,b_0,c_0,f_0,a_0,h_0,e_0,g_0
e_1,2.4,0.77,0.84,0.79,0.7,0.89,1.38,1.42,2.64,1.55,1.58,1.46,1.77,1.79,0.85,2.39
f_1,1.15,2.51,0.88,0.7,0.73,0.62,1.13,1.41,1.77,1.77,1.8,0.57,1.32,1.96,1.35,1.64
c_1,0.67,0.72,2.55,0.8,1.16,0.72,1.63,1.5,1.48,1.39,0.62,2.06,1.72,2.08,1.62,2.21
d_1,0.68,0.75,0.67,2.58,0.83,0.76,1.64,1.49,1.11,2.04,2.84,1.75,1.28,1.71,2.02,1.44
b_1,0.77,0.84,0.69,0.7,2.71,1.3,1.56,1.26,1.46,0.76,1.97,1.41,1.54,2.38,1.65,2.69
a_1,0.74,0.9,0.79,0.78,0.6,3.08,2.03,1.58,1.75,1.73,1.52,1.76,1.22,2.33,1.54,2.02
h_1,0.97,1.41,0.8,1.09,1.01,0.74,3.89,2.51,2.05,2.13,1.9,2.02,2.34,1.72,2.99,3.39
g_1,0.93,0.96,1.0,1.44,1.03,0.84,1.68,4.31,1.77,2.19,2.02,3.24,1.52,2.49,2.28,1.72
d_0,0.87,1.03,1.73,0.48,1.18,0.92,1.7,1.94,3.72,2.68,1.84,2.25,2.26,3.19,2.68,2.72
b_0,1.13,0.99,1.13,1.13,0.57,0.79,2.05,2.01,1.81,3.8,2.3,2.7,4.66,3.16,2.49,2.98
c_0,1.16,1.05,0.75,0.93,0.81,1.15,2.39,1.96,2.49,3.9,3.77,2.45,2.93,3.5,2.78,2.71
f_0,0.94,0.7,1.09,1.03,1.29,0.86,2.04,1.9,2.42,2.22,2.02,4.24,2.63,3.09,4.05,2.58
a_0,0.96,1.08,1.12,1.25,1.18,0.47,1.73,1.9,2.51,1.86,2.05,2.11,4.55,3.43,2.12,3.12
h_0,1.06,1.37,1.07,1.14,0.94,0.82,1.17,2.36,1.82,2.0,1.76,1.96,2.32,1.36,1.76,2.79
e_0,0.73,1.25,1.09,1.06,1.0,0.91,1.89,1.91,2.2,2.59,2.16,2.5,3.0,3.77,4.75,3.01
g_0,1.06,0.91,0.93,1.66,0.75,0.97,1.59,1.27,1.74,2.55,2.13,3.2,2.47,2.66,2.34,1.99
