,d_1,f_1,e_1,c_1,b_1,a_1,h_1,g_1,c_0,b_0,d_0,f_0,h_0,a_0,e_0,g_0
d_1,1.54,0.85,0.69,0.61,0.69,0.6,0.8,0.78,1.44,1.02,0.62,0.9,0.92,0.75,0.79,0.88
f_1,0.69,1.53,1.16,0.69,0.62,0.67,0.8,0.73,0.74,0.84,0.85,0.43,0.78,0.72,0.61,0.79
e_1,0.72,0.71,1.53,0.91,0.71,0.56,0.89,0.76,0.84,0.83,1.45,0.87,0.97,0.75,0.52,0.79
c_1,0.82,0.72,0.66,1.57,1.23,0.56,0.82,0.88,0.52,0.67,0.77,0.92,0.89,0.75,0.69,0.83
b_1,0.78,0.87,0.74,0.58,1.61,1.2,0.89,0.76,0.92,0.62,0.72,0.8,0.95,0.74,0.72,0.89
a_1,0.86,0.81,0.9,0.88,0.48,1.72,1.07,0.91,0.97,1.2,1.09,0.78,1.3,0.77,1.02,0.92
h_1,1.13,1.26,0.88,0.96,0.79,0.73,1.74,1.31,1.09,1.11,0.89,1.02,0.87,0.98,0.95,1.47
g_1,1.44,0.95,0.91,0.88,0.85,0.77,1.0,1.83,1.23,1.05,0.95,1.6,1.28,0.99,1.01,0.86
c_0,0.95,1.18,1.01,0.88,0.77,0.88,1.25,1.03,1.68,2.11,1.27,1.3,1.41,1.29,1.06,1.21
b_0,0.99,1.15,1.02,1.23,0.76,0.65,1.28,1.24,1.0,1.65,1.27,1.19,1.45,1.54,1.09,1.13
d_0,0.74,0.92,0.88,1.84,1.07,0.7,1.35,1.14,0.97,1.09,1.64,1.24,1.29,1.05,1.07,1.18
f_0,1.08,1.02,0.87,1.19,1.03,0.85,1.21,1.09,1.21,1.26,1.21,1.71,1.5,0.93,2.0,1.14
h_0,1.21,1.28,0.95,1.15,0.93,0.68,1.16,1.51,1.14,1.25,1.2,1.28,1.1,1.02,1.21,1.52
a_0,1.25,1.15,0.94,1.16,1.04,0.6,1.37,1.28,1.19,1.27,1.22,1.41,1.53,1.77,1.03,1.53
e_0,1.16,1.28,0.73,1.25,1.09,0.82,1.2,1.28,1.3,1.45,1.08,1.02,1.55,1.36,1.8,1.39
g_0,1.47,1.05,0.97,1.16,1.13,0.86,1.2,1.07,1.32,1.31,1.06,1.76,1.23,0.95,1.16,1.06
