,f_1,e_1,d_1,c_1,b_1,a_1,h_1,d_0,c_0,g_1,b_0,f_0,h_0,a_0,e_0,g_0
f_1,1.49,1.03,0.63,0.68,0.64,0.42,0.66,0.79,0.75,0.74,0.76,0.36,0.75,0.64,0.55,0.68
e_1,0.73,1.51,0.59,0.71,0.66,0.61,0.85,1.3,0.73,0.65,0.97,0.8,1.01,0.66,0.54,0.87
d_1,0.77,0.77,1.57,0.58,0.71,0.47,0.73,0.55,1.39,0.61,0.81,0.88,0.91,0.85,0.67,0.77
c_1,0.71,0.66,0.74,1.56,1.05,0.56,0.71,0.64,0.39,0.66,0.61,0.68,0.82,0.7,0.69,0.75
b_1,0.69,0.73,0.58,0.62,1.59,1.02,0.98,0.87,0.79,0.74,0.63,0.86,0.95,0.5,0.65,0.91
a_1,0.87,0.74,0.94,0.76,0.5,1.75,0.86,0.88,0.79,0.97,0.75,0.84,0.89,0.45,0.81,0.75
h_1,1.3,0.73,0.99,0.93,0.72,0.66,1.73,0.98,0.97,1.17,1.03,0.83,0.75,0.98,0.84,1.25
d_0,1.03,0.68,0.67,1.62,0.86,0.74,1.23,1.59,0.96,1.04,0.94,1.03,1.25,0.95,0.93,1.06
c_0,1.18,1.06,0.79,0.93,0.68,0.8,1.13,1.01,1.63,1.06,1.82,0.97,1.28,1.17,1.02,1.09
g_1,0.85,0.93,1.36,1.05,0.8,0.53,0.89,1.07,0.95,1.83,1.15,1.51,1.08,0.74,0.93,0.76
b_0,1.17,0.8,1.11,1.17,0.47,0.69,1.13,1.34,0.92,0.9,1.66,0.88,1.19,1.72,0.89,0.97
f_0,0.98,0.69,1.13,1.19,0.88,0.7,1.43,1.11,1.38,0.89,1.28,1.73,1.26,1.08,1.75,1.14
h_0,1.42,0.92,1.03,0.91,0.87,0.98,0.73,1.05,1.01,1.25,1.14,1.03,0.92,0.75,0.87,1.38
a_0,1.24,0.97,0.99,1.06,0.98,0.39,1.3,1.13,1.28,1.17,1.08,0.98,1.42,1.74,0.85,1.18
e_0,1.12,0.72,1.08,1.11,0.99,0.88,1.47,1.18,1.27,0.98,1.3,0.82,1.37,1.05,1.73,1.34
g_0,1.13,0.81,1.54,1.0,0.77,0.94,1.07,0.97,1.24,0.88,1.47,1.41,1.18,1.01,1.06,0.96
