,e_1,f_1,c_1,d_1,b_1,a_1,h_1,d_0,c_0,b_0,g_1,f_0,h_0,a_0,e_0,g_0
e_1,0.92,0.48,0.5,0.3,0.34,0.23,0.36,0.6,0.28,0.3,0.22,0.25,0.32,0.23,0.18,0.29
f_1,0.7,0.92,0.4,0.35,0.31,0.18,0.3,0.38,0.29,0.27,0.19,0.17,0.3,0.24,0.18,0.24
c_1,0.39,0.44,0.92,0.38,0.58,0.25,0.37,0.36,0.19,0.19,0.2,0.22,0.32,0.19,0.22,0.26
d_1,0.47,0.47,0.29,0.92,0.31,0.24,0.38,0.27,0.61,0.38,0.25,0.3,0.36,0.24,0.23,0.3
b_1,0.41,0.47,0.4,0.36,0.91,0.46,0.36,0.38,0.32,0.22,0.21,0.24,0.32,0.19,0.23,0.22
a_1,0.43,0.51,0.42,0.36,0.3,0.89,0.38,0.35,0.41,0.3,0.25,0.25,0.44,0.19,0.23,0.31
h_1,0.47,0.62,0.41,0.43,0.32,0.22,0.63,0.33,0.38,0.32,0.32,0.3,0.27,0.25,0.24,0.36
d_0,0.45,0.44,0.74,0.31,0.41,0.22,0.39,0.57,0.24,0.27,0.24,0.27,0.32,0.23,0.24,0.32
c_0,0.51,0.51,0.33,0.44,0.26,0.25,0.36,0.42,0.56,0.56,0.31,0.32,0.41,0.32,0.24,0.32
b_0,0.52,0.53,0.46,0.39,0.26,0.17,0.41,0.43,0.42,0.54,0.31,0.29,0.38,0.53,0.27,0.34
g_1,0.43,0.46,0.42,0.56,0.33,0.21,0.42,0.33,0.39,0.32,0.62,0.43,0.35,0.27,0.26,0.28
f_0,0.38,0.43,0.45,0.47,0.34,0.27,0.44,0.4,0.39,0.34,0.35,0.55,0.41,0.25,0.51,0.33
h_0,0.47,0.6,0.43,0.47,0.32,0.21,0.34,0.35,0.34,0.32,0.34,0.28,0.31,0.25,0.24,0.41
a_0,0.51,0.51,0.48,0.43,0.3,0.15,0.43,0.43,0.36,0.31,0.29,0.3,0.35,0.47,0.29,0.33
e_0,0.37,0.54,0.4,0.51,0.38,0.26,0.38,0.35,0.41,0.34,0.32,0.3,0.44,0.27,0.47,0.32
g_0,0.4,0.44,0.43,0.59,0.35,0.23,0.38,0.35,0.42,0.3,0.25,0.47,0.37,0.25,0.26,0.26
