,e_1,f_1,c_1,d_1,b_1,a_1,h_1,g_1,d_0,b_0,c_0,f_0,a_0,h_0,e_0,g_0
e_1,1.0,0.78,1.05,1.01,0.84,0.85,0.47,0.45,0.6,0.39,0.38,0.37,0.35,0.31,0.28,0.34
f_1,1.28,1.0,1.09,0.94,0.86,0.68,0.38,0.46,0.45,0.47,0.44,0.31,0.3,0.29,0.27,0.3
c_1,0.96,0.92,1.0,1.08,1.22,0.79,0.61,0.47,0.33,0.39,0.36,0.46,0.34,0.35,0.33,0.36
d_1,0.99,1.06,0.92,1.0,1.04,0.83,0.52,0.4,0.61,0.49,0.62,0.41,0.29,0.31,0.38,0.22
b_1,1.18,1.16,0.82,0.96,1.0,1.29,0.56,0.47,0.42,0.47,0.55,0.35,0.35,0.42,0.37,0.49
a_1,1.18,1.48,1.27,1.21,0.78,1.0,0.84,0.62,0.58,0.64,0.5,0.56,0.57,0.5,0.4,0.4
h_1,2.12,2.76,1.66,1.87,1.78,1.16,1.0,1.1,0.91,0.81,0.72,0.73,0.75,0.74,0.79,0.81
g_1,2.28,2.17,2.11,2.5,2.25,1.54,0.9,1.0,0.87,0.98,0.88,1.11,0.65,0.69,0.75,0.73
d_0,1.74,2.18,3.14,1.64,2.46,1.69,1.09,1.13,1.0,1.19,0.81,0.9,0.78,0.93,0.85,0.81
b_0,2.53,2.17,2.54,2.07,2.19,1.59,1.14,1.06,0.84,1.0,0.77,1.01,1.29,0.89,0.74,0.74
c_0,2.68,2.3,3.02,1.66,1.84,2.23,1.42,1.1,1.21,1.39,1.0,1.01,0.95,1.08,0.9,0.75
f_0,2.58,3.3,2.28,2.3,2.76,1.88,1.33,0.95,1.16,0.98,0.95,1.0,0.95,1.01,1.1,0.65
a_0,2.72,3.16,2.78,3.26,2.98,1.59,1.28,1.54,1.38,0.81,1.0,1.03,1.0,1.12,0.78,0.95
h_0,3.11,3.32,2.81,3.09,2.31,1.9,1.39,1.51,1.05,1.11,0.98,1.03,0.94,1.0,0.7,0.93
e_0,3.45,3.58,2.98,2.67,2.79,2.16,1.26,1.32,1.26,1.38,1.16,0.98,1.29,1.36,1.0,1.0
g_0,3.14,3.09,2.73,4.39,2.17,2.43,1.25,1.4,1.2,1.37,1.26,1.5,1.07,1.04,1.01,1.0
