,f_1,e_1,c_1,d_1,b_1,a_1,h_1,d_0,g_1,c_0,b_0,f_0,h_0,a_0,e_0,g_0
f_1,2.35,1.71,0.96,0.96,0.84,0.7,1.98,2.3,1.42,1.86,2.03,1.47,2.77,1.77,1.26,2.44
e_1,1.15,2.38,1.3,0.77,1.07,0.82,1.88,3.56,1.66,1.94,1.81,1.86,2.41,1.63,1.41,2.46
c_1,1.05,0.93,2.47,0.92,1.7,0.93,1.91,2.05,1.65,1.25,1.2,1.88,2.53,1.91,1.83,2.24
d_1,1.22,1.0,0.88,2.53,0.85,0.76,1.9,1.72,1.95,3.84,2.57,1.89,3.03,2.09,1.95,2.49
b_1,1.09,1.01,1.06,0.9,2.63,1.58,1.88,2.09,1.57,1.75,1.23,2.16,2.7,1.54,1.8,2.28
a_1,1.08,1.06,1.12,1.2,0.88,3.18,2.05,2.29,2.09,2.08,2.06,2.13,3.23,1.29,1.83,2.52
h_1,1.56,1.15,1.11,1.25,0.9,0.68,3.47,2.11,2.24,2.12,2.05,2.1,2.69,1.96,1.87,3.33
d_0,1.17,1.1,1.76,0.79,1.14,0.88,1.97,3.22,1.83,1.55,2.11,1.84,2.51,2.0,1.91,2.56
g_1,1.05,0.99,1.21,1.57,0.97,0.69,1.76,2.13,3.85,2.4,2.22,3.23,2.57,1.8,2.42,2.17
c_0,1.25,1.15,1.01,1.22,0.82,0.84,1.99,2.57,2.09,3.49,3.86,2.1,3.53,2.79,2.19,3.03
b_0,1.25,1.21,1.23,1.22,0.74,0.59,2.14,2.59,2.26,2.47,3.87,2.49,3.28,4.16,1.99,2.9
f_0,1.02,1.0,1.2,1.32,1.1,0.78,2.0,2.51,1.97,2.32,2.27,3.7,3.49,2.12,3.92,2.89
h_0,1.44,1.17,1.06,1.21,1.04,0.79,1.75,2.02,2.3,2.18,2.0,2.31,2.25,2.09,1.98,3.39
a_0,1.2,1.21,1.29,1.26,0.95,0.63,2.31,2.41,2.02,2.14,2.46,2.34,3.06,3.76,2.54,2.37
e_0,1.2,0.76,1.19,1.28,1.03,0.89,2.34,2.34,2.01,2.43,2.67,2.41,3.51,2.4,3.91,3.32
g_0,1.2,0.99,1.11,1.64,1.04,0.88,1.88,1.92,1.5,2.17,2.01,3.05,3.27,2.28,2.14,2.51
