,e_1,f_1,c_1,d_1,b_1,a_1,h_1,d_0,c_0,g_1,b_0,f_0,h_0,a_0,e_0,g_0
e_1,1.0,0.77,0.95,0.87,0.96,0.98,0.6,0.86,0.72,0.66,0.68,0.61,0.57,0.5,,0.59
f_1,1.29,1.0,0.89,1.02,0.87,0.84,0.54,0.7,0.7,0.66,0.63,,0.53,0.53,0.53,0.56
c_1,1.05,1.12,1.0,1.1,1.36,0.79,0.68,0.46,,0.74,0.49,0.65,0.68,0.61,0.6,0.56
d_1,1.14,0.98,0.91,1.0,1.01,0.72,0.72,,0.84,0.58,0.63,0.84,0.58,0.7,0.68,0.38
b_1,1.05,1.14,0.74,0.99,1.0,1.6,0.77,0.71,0.72,0.77,,0.66,0.57,,0.71,0.65
a_1,1.02,1.19,1.27,1.38,0.62,1.0,0.81,0.87,0.82,0.75,0.74,0.76,0.74,,,0.68
h_1,1.66,1.86,1.46,1.39,1.3,1.24,1.0,1.0,0.9,0.91,0.8,0.69,,0.8,0.88,0.82
d_0,1.16,1.43,2.19,,1.4,1.15,1.0,1.0,0.92,0.9,0.95,0.93,0.94,0.98,0.76,0.85
c_0,1.4,1.42,,1.19,1.39,1.22,1.11,1.09,1.0,1.05,1.51,0.98,0.89,0.69,0.78,1.01
g_1,1.52,1.51,1.35,1.72,1.3,1.34,1.1,1.11,0.95,1.0,0.84,1.36,0.7,1.01,0.71,
b_0,1.48,1.58,2.06,1.6,,1.36,1.24,1.05,0.66,1.19,1.0,0.73,0.97,1.07,0.88,0.95
f_0,1.63,,1.55,1.19,1.51,1.32,1.45,1.08,1.02,0.73,1.37,1.0,1.04,0.93,1.09,0.91
h_0,1.76,1.88,1.47,1.74,1.76,1.36,,1.06,1.12,1.43,1.03,0.96,,0.91,0.92,1.01
a_0,2.0,1.87,1.63,1.44,,,1.25,1.02,1.45,0.99,0.94,1.08,1.1,1.0,0.9,
e_0,,1.87,1.66,1.46,1.41,,1.13,1.31,1.28,1.41,1.14,0.91,1.09,1.11,1.0,0.98
g_0,1.7,1.78,1.78,2.66,1.55,1.46,1.22,1.17,0.99,,1.06,1.09,0.99,,1.02,
