,e_1,d_1,f_1,c_1,b_1,a_1,h_1,g_1,d_0,c_0,b_0,f_0,h_0,e_0,a_0,g_0
e_1,2.75,0.56,0.54,0.82,0.57,0.5,0.9,0.92,1.64,0.78,0.91,1.16,0.98,0.51,1.08,0.98
d_1,0.59,2.87,0.7,0.45,0.58,0.58,0.95,0.98,0.36,1.76,1.25,1.05,1.03,1.05,1.18,0.89
f_1,1.15,0.59,2.94,0.6,0.45,0.49,0.86,0.67,0.88,0.87,0.96,0.23,0.71,0.6,0.87,0.9
c_1,0.52,0.6,0.58,3.25,1.23,0.56,0.77,0.86,0.91,0.23,0.71,0.89,0.97,0.76,0.83,0.78
b_1,0.51,0.58,0.67,0.53,3.61,1.22,0.93,0.9,0.92,0.92,0.37,0.96,1.04,0.98,0.49,0.93
a_1,0.55,0.68,0.72,0.71,0.5,4.77,0.93,0.87,0.71,0.96,1.04,0.84,0.96,1.14,0.33,0.96
h_1,0.69,0.8,1.05,0.68,0.79,0.68,3.17,1.43,0.97,1.13,0.98,1.05,0.69,1.38,1.17,1.84
g_1,0.65,1.16,0.62,0.75,0.68,0.72,0.94,3.16,1.02,1.05,1.12,1.81,1.05,1.39,0.96,0.8
d_0,0.77,0.45,0.65,1.43,0.73,0.82,1.08,0.98,2.19,0.8,0.83,1.14,1.2,1.4,0.97,1.47
c_0,0.83,0.99,0.86,0.39,0.54,0.68,1.11,1.17,0.91,2.45,2.15,1.2,1.33,1.35,1.47,1.17
b_0,0.67,0.88,0.89,0.77,0.28,0.65,1.26,0.97,1.19,1.25,2.81,1.23,1.45,1.14,2.91,1.3
f_0,0.64,1.0,0.44,0.84,0.77,0.66,1.14,1.12,1.35,1.12,1.04,2.85,1.47,2.59,1.12,1.57
h_0,0.58,0.86,1.16,0.72,0.7,0.8,0.52,1.6,1.11,1.15,1.3,1.16,0.55,1.21,1.1,1.52
e_0,0.34,0.95,0.76,0.84,0.78,0.75,1.17,1.41,1.4,1.11,1.33,1.3,1.53,3.73,1.27,1.39
a_0,0.69,0.8,0.85,0.89,0.76,0.23,1.21,0.99,1.33,0.96,1.4,1.36,1.54,1.33,3.92,1.21
g_0,0.6,1.28,0.65,0.82,0.64,0.6,1.28,0.73,1.09,1.0,1.04,1.91,1.51,1.56,1.25,0.61
