,d_1,e_1,f_1,c_1,b_1,a_1,h_1,d_0,g_1,c_0,f_0,b_0,h_0,a_0,e_0,g_0
d_1,2.61,0.61,0.74,0.52,0.63,0.62,0.96,0.41,0.89,1.69,1.12,1.09,0.98,1.12,1.05,1.08
e_1,0.53,2.6,0.7,0.84,0.63,0.7,0.92,1.67,0.9,0.81,0.89,1.06,1.07,0.99,0.51,0.87
f_1,0.67,1.14,2.67,0.64,0.47,0.62,0.82,0.83,0.87,0.91,0.41,0.86,0.79,0.92,0.6,0.72
c_1,0.63,0.64,0.66,2.78,1.15,0.47,0.84,0.92,0.75,0.39,0.9,0.64,1.01,0.83,0.84,1.07
b_1,0.66,0.58,0.58,0.68,3.29,1.23,0.93,0.76,0.79,0.84,0.88,0.45,0.81,0.63,1.04,1.1
a_1,0.69,0.65,0.55,0.62,0.72,4.26,1.0,1.06,1.08,1.03,1.17,1.05,1.05,0.41,1.26,0.92
h_1,0.83,0.72,1.17,0.82,0.7,0.62,2.73,1.02,1.51,0.99,0.96,1.06,0.74,1.24,1.13,1.35
d_0,0.53,0.74,0.8,1.58,0.87,0.77,1.08,1.86,0.95,0.77,1.08,1.05,1.05,0.86,1.0,1.07
g_1,1.32,0.7,0.65,0.71,0.74,0.67,0.82,1.09,3.36,1.02,1.8,1.23,1.28,1.36,1.36,0.64
c_0,0.88,0.76,0.96,0.53,0.57,0.67,1.28,1.22,1.14,2.22,1.19,2.56,1.28,1.38,1.44,1.39
f_0,0.91,0.66,0.58,0.93,0.87,0.75,1.07,1.18,1.34,1.08,2.35,1.25,1.28,1.24,2.49,1.13
b_0,0.96,0.76,1.0,0.93,0.35,0.48,1.12,1.2,1.08,0.98,1.27,2.4,1.47,2.58,1.36,1.05
h_0,0.93,0.75,1.22,0.76,0.7,0.67,0.67,1.06,1.36,0.98,1.08,1.18,0.85,1.02,1.17,1.42
a_0,1.02,0.76,0.97,0.78,0.66,0.4,1.35,1.11,1.05,1.27,1.55,1.14,1.31,2.94,1.44,1.22
e_0,1.1,0.36,0.88,0.87,0.76,0.78,1.35,1.2,1.12,1.17,1.17,1.2,1.39,1.52,3.09,1.28
g_0,1.39,0.63,0.78,0.71,0.69,0.72,1.06,0.89,0.87,1.08,1.95,1.31,1.23,1.22,1.17,0.92
