,e_1,f_1,d_1,c_1,b_1,a_1,h_1,g_1,d_0,c_0,f_0,b_0,h_0,e_0,g_0,a_0
e_1,0.91,0.33,0.24,0.39,0.29,0.17,0.27,0.22,0.48,0.28,0.27,0.27,0.28,0.13,0.23,0.19
f_1,0.58,0.9,0.29,0.27,0.28,0.14,0.27,0.21,0.25,0.26,0.15,0.25,0.28,0.11,0.18,0.16
d_1,0.33,0.36,0.91,0.23,0.25,0.18,0.32,0.24,0.2,0.48,0.28,0.31,0.27,0.19,0.29,0.2
c_1,0.24,0.32,0.3,0.9,0.46,0.21,0.26,0.24,0.27,0.13,0.24,0.17,0.27,0.16,0.2,0.16
b_1,0.3,0.32,0.32,0.31,0.9,0.37,0.25,0.24,0.28,0.24,0.21,0.13,0.31,0.17,0.22,0.12
a_1,0.32,0.33,0.32,0.31,0.28,0.88,0.31,0.24,0.26,0.29,0.29,0.25,0.28,0.19,0.27,0.12
h_1,0.32,0.45,0.37,0.35,0.26,0.19,0.6,0.32,0.25,0.29,0.26,0.28,0.24,0.16,0.34,0.18
g_1,0.28,0.29,0.51,0.39,0.27,0.19,0.28,0.6,0.24,0.32,0.42,0.3,0.32,0.22,0.25,0.18
d_0,0.32,0.33,0.19,0.65,0.32,0.2,0.29,0.27,0.48,0.2,0.29,0.21,0.28,0.18,0.24,0.17
c_0,0.36,0.38,0.39,0.29,0.21,0.19,0.33,0.31,0.33,0.5,0.35,0.51,0.34,0.2,0.27,0.24
f_0,0.25,0.26,0.44,0.38,0.31,0.23,0.32,0.25,0.3,0.31,0.51,0.28,0.28,0.45,0.3,0.22
b_0,0.35,0.38,0.36,0.37,0.21,0.18,0.33,0.29,0.3,0.28,0.34,0.49,0.37,0.21,0.29,0.4
h_0,0.36,0.49,0.38,0.34,0.26,0.19,0.24,0.37,0.3,0.24,0.3,0.25,0.23,0.19,0.35,0.2
e_0,0.22,0.35,0.41,0.39,0.3,0.25,0.35,0.33,0.32,0.3,0.26,0.27,0.34,0.48,0.29,0.18
g_0,0.3,0.32,0.54,0.33,0.27,0.2,0.34,0.23,0.25,0.31,0.46,0.29,0.28,0.25,0.25,0.18
a_0,0.33,0.38,0.43,0.37,0.26,0.15,0.34,0.33,0.26,0.29,0.28,0.31,0.38,0.22,0.25,0.43
