,e_1,f_1,c_1,d_1,b_1,a_1,h_1,d_0,c_0,g_1,b_0,f_0,a_0,h_0,e_0,g_0
e_1,2.46,1.61,2.06,1.53,1.7,1.63,3.21,5.33,3.12,3.08,3.43,3.89,3.88,4.66,3.34,4.66
f_1,2.38,2.49,1.66,1.5,1.6,1.61,2.76,3.81,3.31,2.86,3.53,3.07,3.73,4.05,3.13,4.47
c_1,1.43,1.66,2.58,1.74,2.43,1.7,2.97,2.73,2.99,3.23,3.1,3.67,3.17,4.54,3.91,4.53
d_1,1.66,1.86,1.33,2.6,1.61,1.6,3.51,2.91,5.45,3.25,4.56,3.58,3.99,4.72,4.13,3.86
b_1,1.57,1.69,1.63,1.69,2.67,2.61,3.37,3.33,3.57,3.11,2.99,3.41,3.33,4.57,3.87,4.7
a_1,1.75,1.7,1.83,1.86,1.42,3.34,3.52,3.64,3.49,3.55,3.44,3.88,4.07,4.5,4.49,5.42
h_1,1.66,2.12,1.77,1.8,1.69,1.74,4.39,3.33,3.33,3.76,3.88,3.67,4.17,3.89,4.01,5.23
d_0,1.45,1.68,2.69,1.54,1.89,1.5,2.99,4.44,2.95,3.76,3.08,3.66,3.82,4.71,3.93,4.29
c_0,1.76,1.88,1.63,1.69,1.51,1.78,3.74,4.03,4.65,3.66,5.87,4.57,4.74,4.82,3.82,4.6
g_1,1.56,1.59,1.67,2.32,1.73,1.71,3.09,2.91,3.71,4.97,3.82,4.95,4.0,4.25,4.56,4.0
b_0,1.68,1.7,1.79,1.8,1.68,1.94,3.56,3.72,3.52,3.78,5.0,3.93,6.08,4.64,4.23,4.94
f_0,1.46,1.73,1.74,1.81,1.85,1.84,3.62,3.8,3.57,3.38,4.39,5.05,4.45,5.5,6.75,4.37
a_0,1.69,1.79,1.85,1.78,1.74,1.47,3.64,3.76,3.79,3.51,3.46,3.7,5.44,5.05,4.01,4.85
h_0,1.67,2.09,1.69,1.7,1.69,1.81,2.72,3.42,3.79,4.12,4.08,3.69,3.57,4.29,4.25,5.94
e_0,1.63,2.06,1.62,1.92,1.61,1.51,3.75,3.63,3.9,3.43,3.85,3.29,4.4,4.7,5.47,5.24
g_0,1.67,1.69,1.72,2.28,1.65,1.5,3.28,3.22,4.08,3.11,3.65,4.89,3.64,4.13,4.04,4.55
