,f_1,d_1,e_1,c_1,b_1,a_1,h_1,g_1,c_0,d_0,b_0,f_0,h_0,a_0,g_0,e_0
f_1,103.02,12.36,18.68,20.95,30.35,45.35,1911.18,2465.67,5290.9,6797.05,8943.42,,22277.69,26490.89,25033.85,30859.15
d_1,12.26,115.68,11.52,17.62,20.79,46.82,1837.05,3268.76,6906.69,,7951.35,12241.91,18540.97,23135.88,33060.83,27791.97
e_1,11.4,13.33,118.03,15.62,23.16,50.23,1719.38,3167.9,4240.37,8895.02,7084.18,7874.41,23093.33,19785.67,34675.36,
c_1,11.24,10.69,13.44,161.5,31.45,57.64,1268.86,2762.26,,5382.61,5409.9,7843.36,17654.06,20661.65,29458.46,22852.8
b_1,8.79,13.68,9.33,17.7,198.19,68.88,1407.91,2532.63,3119.26,4368.94,,7098.85,17250.52,15058.96,18587.38,26289.28
a_1,8.97,8.07,9.73,8.28,11.76,380.64,1271.39,2192.34,2678.71,2964.55,,,14321.4,,18965.4,
h_1,6.25,5.45,6.43,11.02,12.2,21.74,2762.34,1882.34,2493.43,2814.01,4323.76,4020.07,,8498.04,20870.53,15032.8
g_1,5.1,6.4,4.64,6.98,9.71,20.65,563.34,5156.71,1723.34,1438.43,3380.34,4369.63,7723.84,11601.59,,
c_0,4.82,4.89,5.7,,9.07,24.14,632.66,1579.62,4709.94,2559.56,5989.89,4411.41,9053.64,,14418.09,8722.18
d_0,4.74,,4.33,12.5,9.3,23.2,548.91,1803.87,1405.15,5596.73,4115.18,3082.17,7978.82,8199.95,10179.38,13483.8
b_0,3.25,5.08,5.0,6.42,,,569.78,989.48,1219.55,1883.3,7812.96,3727.4,9126.68,15052.91,11077.44,10687.76
f_0,,3.85,4.58,6.47,9.46,,579.96,1296.55,1300.01,2105.75,2696.96,8394.6,7610.65,7301.13,10052.86,14539.68
h_0,3.61,5.14,4.44,6.84,7.52,19.1,,1316.63,1684.45,1767.08,2371.94,2408.97,,8512.79,13028.08,8633.5
a_0,2.28,3.41,4.0,4.52,6.84,,458.47,634.19,,1250.61,1292.18,2085.01,5763.03,20076.75,8038.37,
g_0,3.59,4.58,3.19,5.12,7.83,17.51,354.51,,1167.54,1953.02,2159.36,3293.61,4923.12,7840.69,,9594.62
e_0,2.15,2.92,,4.86,5.88,,355.38,,1260.52,943.88,2001.42,1872.61,5424.39,,7213.4,21849.07
