,c_1,f_1,d_1,e_1,b_1,a_1,h_1,g_1,d_0,c_0,f_0,b_0,h_0,e_0,a_0,g_0
c_1,6.33,2.82,2.62,2.62,5.01,3.1,10.18,9.6,12.02,7.28,14.15,8.14,21.35,13.68,12.52,19.67
f_1,2.81,6.36,2.81,4.39,2.62,2.45,9.81,9.34,13.37,12.3,8.03,14.03,18.03,8.77,15.16,16.94
d_1,2.47,3.17,6.57,2.66,2.61,2.48,11.43,10.86,9.54,23.86,15.38,20.01,22.05,16.59,15.84,21.68
e_1,3.43,2.8,2.41,6.69,2.86,2.64,9.78,10.75,23.07,11.2,13.72,14.09,20.56,10.28,14.79,22.01
b_1,2.86,2.72,2.69,2.57,7.21,5.71,10.12,9.64,11.75,11.85,12.91,10.15,21.41,13.68,11.27,19.15
a_1,3.17,3.24,2.53,2.41,2.74,10.95,10.49,11.49,13.33,14.06,15.89,14.36,21.39,18.05,13.16,19.35
h_1,3.05,3.78,3.23,2.86,2.7,2.94,18.18,13.54,12.27,13.99,15.58,16.04,17.39,13.64,17.07,26.55
g_1,2.8,2.89,4.57,2.51,2.85,2.74,12.88,21.32,11.83,15.64,22.97,14.82,19.59,18.03,15.08,19.25
d_0,4.9,3.07,2.2,2.96,3.5,2.95,10.53,10.68,20.18,9.19,15.17,12.36,19.12,13.16,15.67,21.39
c_0,2.83,3.34,3.46,3.0,2.25,2.63,12.7,11.62,13.9,22.24,15.48,28.83,23.81,17.53,20.46,24.98
f_0,3.12,2.53,3.55,2.44,3.19,3.43,12.43,12.26,12.75,15.04,23.55,16.34,23.49,31.1,17.12,24.21
b_0,3.06,3.55,3.18,3.06,2.16,2.3,12.45,11.02,14.28,14.86,12.68,23.42,24.96,15.36,32.92,24.37
h_0,3.11,3.67,3.26,2.95,2.71,2.95,9.05,14.25,13.05,13.41,16.19,15.39,17.18,16.03,18.3,27.35
e_0,3.25,3.61,3.23,2.21,3.15,3.77,13.12,12.66,11.44,12.14,15.73,14.63,25.11,30.4,16.39,24.7
a_0,2.96,3.14,3.54,3.02,3.1,2.0,12.86,12.47,13.12,13.53,13.12,14.78,22.29,16.05,29.77,24.06
g_0,3.18,2.59,4.34,2.49,3.04,2.2,10.31,9.68,12.36,15.82,21.38,16.99,23.47,18.48,17.85,21.93
