,f_1,e_1,c_1,d_1,b_1,a_1,h_1,g_1,d_0,c_0,b_0,f_0,h_0,a_0,e_0,g_0
f_1,6.04,4.27,2.64,2.78,2.75,2.37,9.13,9.87,13.57,13.51,13.68,10.74,19.65,12.37,9.62,18.52
e_1,2.89,6.19,3.62,2.45,2.84,2.81,10.25,10.81,23.13,12.84,14.79,13.29,20.05,13.87,10.8,21.96
c_1,2.67,2.42,6.61,3.03,4.75,3.16,9.85,10.69,12.54,7.96,9.48,13.28,19.53,12.59,15.94,21.46
d_1,3.08,2.77,2.3,6.72,2.81,2.99,11.12,9.85,9.67,23.6,16.68,13.76,20.62,17.93,15.09,20.71
b_1,2.89,2.7,2.91,2.61,7.63,5.39,10.31,10.58,12.7,13.02,9.77,13.14,18.36,13.05,15.51,19.56
a_1,2.97,2.87,2.95,3.26,2.84,11.12,11.63,9.86,13.26,14.64,14.08,12.99,19.53,11.37,14.28,16.52
h_1,3.68,2.85,3.13,3.36,3.14,2.65,18.54,14.3,13.53,14.66,14.02,13.79,16.76,14.95,16.92,29.8
g_1,2.87,2.35,3.11,4.63,2.82,3.07,10.24,22.45,12.46,14.87,14.16,22.01,22.02,16.69,22.19,20.81
d_0,2.84,2.65,5.19,2.53,3.5,2.94,9.89,11.06,19.86,9.18,13.12,14.48,22.59,12.61,15.58,24.64
c_0,3.58,3.12,2.55,3.3,2.36,3.53,11.75,11.86,13.8,20.59,25.21,14.4,23.36,19.45,16.69,20.62
b_0,3.58,3.3,3.19,3.43,2.24,2.74,11.58,11.82,13.84,15.27,22.97,15.09,24.76,28.0,15.03,24.31
f_0,2.77,2.44,3.45,3.1,3.01,3.56,13.89,12.15,16.85,14.92,13.79,24.86,23.76,13.9,34.27,25.01
h_0,3.79,2.99,3.19,3.34,3.03,2.98,7.86,14.68,12.81,13.73,14.04,16.48,18.52,16.69,14.08,28.48
a_0,3.17,3.28,3.07,3.32,3.41,2.98,11.45,9.23,11.05,15.18,15.87,13.67,22.17,28.25,12.56,22.31
e_0,3.51,2.45,3.04,3.01,3.68,3.37,11.15,13.35,14.57,12.39,14.8,17.51,26.49,14.82,30.65,25.97
g_0,2.85,2.61,3.1,4.31,3.19,3.13,10.67,11.06,11.69,15.3,13.88,20.71,23.94,15.32,18.24,19.04
