,f_1,e_1,d_1,c_1,b_1,a_1,h_1,g_1,d_0,c_0,f_0,b_0,h_0,a_0,e_0,g_0
f_1,1.0,1.4,1.09,0.83,0.73,0.71,0.38,0.49,0.46,0.4,,0.42,0.28,0.28,0.26,0.29
e_1,0.71,1.0,1.05,0.9,0.83,0.63,0.48,0.45,0.63,0.39,0.47,0.38,0.36,0.29,,0.25
d_1,0.91,0.95,1.0,1.01,0.82,0.72,0.53,0.42,,0.6,0.45,0.32,0.34,0.32,0.33,0.22
c_1,1.2,1.11,0.99,1.0,1.34,0.77,0.51,0.5,0.32,,0.51,0.4,0.38,0.35,0.3,0.31
b_1,1.37,1.2,1.21,0.75,1.0,1.14,0.59,0.49,0.58,0.45,0.39,,0.46,0.34,0.36,
a_1,1.41,1.59,1.38,1.29,0.88,1.0,0.83,0.5,0.38,0.58,0.61,0.6,0.6,,,0.43
h_1,2.6,2.07,1.88,1.96,1.7,1.21,1.0,1.11,0.91,0.82,0.82,0.76,,0.69,0.62,0.57
g_1,2.04,2.23,2.38,2.02,2.04,1.99,0.9,1.0,0.75,1.04,1.0,0.84,0.58,0.92,0.88,
d_0,2.16,1.59,,3.09,1.73,2.61,1.1,1.34,1.0,1.03,1.15,0.8,0.65,0.77,0.61,0.84
c_0,2.48,2.55,1.67,,2.23,1.73,1.22,0.96,0.97,1.0,0.83,1.58,0.7,1.05,0.87,0.58
f_0,,2.15,2.2,1.96,2.54,1.64,1.22,1.0,0.87,1.21,1.0,0.98,1.03,0.83,1.24,0.82
b_0,2.4,2.61,3.08,2.5,,1.66,1.32,1.19,1.25,0.63,1.02,1.0,0.95,,0.73,0.76
h_0,3.61,2.76,2.98,2.62,2.18,1.65,,1.71,1.53,1.42,0.97,1.05,,0.68,0.73,1.26
a_0,3.51,3.49,3.09,2.88,2.92,,1.46,1.08,1.31,0.95,1.2,,1.47,1.0,1.08,
e_0,3.87,,3.04,3.32,2.81,,1.61,1.14,1.63,1.15,0.81,1.38,1.37,0.93,1.0,
g_0,3.45,3.99,4.62,3.24,,2.35,1.74,,1.19,1.71,1.22,1.32,0.79,,,
