,e_1,f_1,d_1,c_1,b_1,a_1,h_1,g_1,d_0,c_0,f_0,b_0,h_0,e_0,g_0,a_0
e_1,10.33,0.74,0.54,1.01,0.72,0.65,0.9,0.88,2.3,0.89,1.02,1.03,0.95,0.77,0.97,1.1
f_1,2.1,10.83,0.64,0.63,0.69,0.48,0.84,0.76,0.92,0.92,0.65,0.99,0.94,0.57,0.73,0.95
d_1,0.68,0.81,13.61,0.48,0.57,0.63,1.14,0.98,0.64,2.5,1.08,1.37,1.01,1.13,1.28,1.13
c_1,0.48,0.66,0.72,11.99,1.63,0.83,0.79,0.91,0.81,0.51,0.86,0.61,0.93,0.9,0.79,0.86
b_1,0.61,0.72,0.69,0.76,11.72,1.79,0.87,0.89,0.88,0.74,0.77,0.55,1.03,0.96,0.96,0.66
a_1,0.74,0.78,0.75,0.64,0.72,16.94,1.14,0.91,0.88,0.97,1.08,1.06,1.04,1.19,1.06,0.61
h_1,0.67,1.29,0.93,0.75,0.57,0.64,3.19,1.35,0.8,1.05,1.07,1.12,0.84,0.96,1.53,0.99
g_1,0.53,0.62,1.63,0.9,0.65,0.68,0.95,3.47,0.67,1.1,2.18,1.3,1.26,1.29,1.02,1.1
d_0,0.63,0.66,0.47,2.94,0.88,0.75,0.93,1.02,1.96,0.63,1.17,0.8,0.96,0.94,1.0,0.92
c_0,0.82,0.83,1.07,0.63,0.47,0.73,1.2,1.32,1.17,2.16,1.46,3.14,1.33,1.08,1.13,1.59
f_0,0.42,0.58,1.2,0.91,0.71,0.96,1.2,1.07,0.92,1.09,2.41,1.17,0.91,3.7,1.28,1.32
b_0,0.76,0.9,0.96,0.85,0.5,0.61,1.11,1.4,1.03,0.98,1.4,2.47,1.43,1.19,1.12,3.09
h_0,0.74,1.3,0.99,0.79,0.67,0.66,0.86,1.67,0.92,0.78,1.08,1.02,0.78,1.0,1.52,1.14
e_0,0.44,0.72,0.96,1.07,0.73,0.96,1.4,1.45,0.99,1.0,1.0,1.24,1.32,3.63,1.21,1.07
g_0,0.61,0.65,1.74,0.79,0.65,0.73,1.16,0.98,0.83,1.34,2.25,1.14,0.97,1.48,1.08,0.95
a_0,0.78,0.87,1.07,0.8,0.69,0.58,1.18,1.58,0.83,0.92,1.0,1.18,1.43,1.33,1.14,3.02
