,e_1,f_1,d_1,c_1,b_1,a_1,h_1,d_0,g_1,c_0,b_0,f_0,a_0,h_0,g_0,e_0
e_1,0.96,0.65,0.54,0.7,0.47,0.4,0.43,0.59,0.36,0.33,0.36,0.34,0.3,0.36,0.34,0.24
f_1,0.9,0.96,0.56,0.59,0.45,0.39,0.39,0.42,0.35,0.36,0.33,0.26,0.27,0.32,0.29,0.2
d_1,0.72,0.75,0.96,0.51,0.46,0.39,0.46,0.35,0.3,0.57,0.41,0.36,0.32,0.38,0.32,0.28
c_1,0.61,0.66,0.68,0.96,0.79,0.44,0.46,0.34,0.35,0.29,0.29,0.34,0.26,0.33,0.28,0.29
b_1,0.69,0.73,0.71,0.55,0.95,0.77,0.51,0.39,0.41,0.43,0.33,0.41,0.27,0.41,0.36,0.3
a_1,0.83,0.82,0.76,0.71,0.45,0.94,0.6,0.46,0.45,0.47,0.5,0.45,0.3,0.4,0.43,0.3
h_1,0.99,1.19,0.95,0.78,0.69,0.53,0.81,0.53,0.55,0.52,0.46,0.49,0.4,0.44,0.54,0.41
d_0,0.87,1.06,0.85,1.43,0.84,0.6,0.7,0.74,0.54,0.43,0.54,0.51,0.45,0.5,0.48,0.44
g_1,0.99,0.92,1.31,0.96,0.74,0.55,0.68,0.57,0.79,0.61,0.6,0.78,0.49,0.48,0.48,0.5
c_0,1.22,1.17,0.9,1.03,0.7,0.55,0.73,0.76,0.55,0.73,0.88,0.62,0.58,0.6,0.62,0.44
b_0,1.1,1.24,1.02,1.13,0.76,0.47,0.74,0.74,0.57,0.49,0.72,0.62,0.8,0.57,0.52,0.46
f_0,1.01,1.14,1.12,1.05,0.83,0.62,0.68,0.68,0.5,0.57,0.59,0.74,0.51,0.62,0.54,0.77
a_0,1.13,1.23,1.19,1.29,0.94,0.55,0.83,0.75,0.62,0.59,0.52,0.63,0.71,0.6,0.56,0.58
h_0,1.2,1.41,1.11,1.11,0.77,0.77,0.76,0.76,0.8,0.59,0.61,0.58,0.54,0.52,0.68,0.46
g_0,1.09,1.19,1.44,1.13,0.87,0.62,0.8,0.67,0.53,0.61,0.67,0.78,0.62,0.56,0.53,0.54
e_0,1.08,1.51,1.18,1.08,0.97,0.78,0.78,0.73,0.63,0.69,0.62,0.53,0.55,0.66,0.55,0.67
