,f_1,e_1,c_1,d_1,b_1,a_1,h_1,d_0,g_1,c_0,f_0,b_0,h_0,e_0,a_0,g_0
f_1,95.02,90.14,90.51,98.45,155.3,328.52,11631.64,20544.69,21234.95,28622.81,27856.6,42883.16,86990.67,140851.26,143821.97,213674.03
e_1,54.36,98.89,118.36,91.99,165.99,387.64,13333.48,32161.78,23230.39,29472.98,39615.93,43423.56,104319.59,160659.23,188250.19,192598.44
c_1,53.1,40.82,141.86,91.54,239.06,338.49,9992.83,13827.92,18815.9,16218.89,28692.17,28376.78,78518.75,129547.75,139613.51,194945.82
d_1,48.68,53.52,64.34,150.8,135.36,326.69,11504.25,14761.22,18439.01,41793.22,34584.09,43185.33,80672.59,154256.22,140691.33,168232.65
b_1,43.53,41.48,59.37,69.85,229.55,470.57,9074.43,15649.12,16428.87,19858.94,23587.0,22499.26,70922.04,120186.6,120514.02,159821.67
a_1,34.63,31.78,58.17,58.93,77.48,455.65,7167.37,12154.35,11550.94,15733.87,18264.53,23859.25,54251.58,97637.87,86742.81,115759.93
h_1,15.89,12.77,23.56,21.51,34.75,72.12,4026.07,3941.15,6038.6,6094.82,7192.89,10084.71,16523.71,32136.12,35058.95,54479.57
d_0,11.45,9.66,28.61,16.42,34.15,72.23,2722.57,5023.36,4212.18,4981.58,7661.15,8621.83,17419.12,29515.44,30743.46,49953.83
g_1,10.47,10.03,15.66,25.2,29.1,62.94,2149.75,3334.79,6349.8,4941.3,9030.07,8093.34,16122.0,34692.16,36773.97,33728.57
c_0,10.39,11.33,15.01,15.71,26.89,62.05,2412.1,3717.24,4731.15,6776.45,6627.74,13455.27,17421.35,36311.57,37365.04,38579.26
f_0,8.4,7.65,16.29,17.23,31.06,71.88,2368.35,3471.52,3335.1,5405.46,7962.63,7551.27,15717.25,52611.25,28474.5,35571.33
b_0,9.69,9.62,17.46,15.38,22.29,50.03,2069.56,2911.76,3828.44,3564.12,5201.3,9242.62,14644.65,27256.79,43909.52,36514.14
h_0,9.12,7.16,11.66,12.5,20.79,47.9,1542.25,2591.23,3277.87,3446.46,4172.17,5682.94,10825.99,22765.46,21455.1,31581.75
e_0,5.68,4.95,10.33,9.98,18.86,36.22,1497.72,2236.86,2317.23,2777.48,3189.67,4795.86,10323.28,26190.04,20120.67,24302.9
a_0,6.93,5.55,9.97,10.05,16.9,26.49,1279.51,2034.07,2063.32,2603.35,3585.58,3746.31,10437.05,17032.51,26200.62,22709.96
g_0,4.16,5.68,9.03,13.17,17.14,38.63,1170.81,1570.71,1939.69,3083.52,4703.21,4528.37,8703.16,18344.82,15267.3,19529.59
