,f_1,e_1,d_1,c_1,b_1,a_1,h_1,d_0,g_1,c_0,b_0,f_0,h_0,a_0,g_0,e_0
f_1,5.63,0.11,0.07,0.09,0.07,0.06,0.32,0.43,0.32,0.37,0.28,,0.75,0.44,0.57,0.32
e_1,0.08,5.78,0.06,0.07,0.07,0.07,0.25,0.84,0.27,0.36,0.38,0.32,0.69,0.22,0.71,
d_1,0.09,0.08,6.13,0.05,0.07,0.07,0.33,,0.23,0.86,0.49,0.26,0.56,0.46,0.56,0.34
c_1,0.07,0.08,0.08,6.43,0.15,0.06,0.25,0.36,0.32,,0.28,0.58,0.51,0.48,0.55,0.41
b_1,0.07,0.09,0.07,0.09,7.19,0.17,0.3,0.53,0.3,0.37,,0.31,0.45,0.27,0.59,0.35
a_1,0.07,0.08,0.09,0.07,0.05,11.05,0.39,0.46,0.28,0.31,0.42,0.38,0.75,,0.53,
h_1,0.47,0.32,0.28,0.33,0.26,,14.63,1.37,1.5,0.94,1.42,1.42,,1.34,2.68,1.87
d_0,0.34,0.27,,0.83,0.4,0.48,1.82,12.19,1.35,1.7,1.7,2.23,2.33,1.37,2.89,2.77
g_1,0.21,0.34,0.49,0.17,0.28,,1.05,0.85,18.63,1.68,1.48,2.64,2.57,1.41,,1.25
c_0,0.37,0.38,0.35,,0.32,0.58,1.18,1.76,1.86,13.49,3.21,2.23,2.86,1.88,2.97,1.42
b_0,0.42,0.5,0.56,0.35,,0.31,1.47,1.7,1.23,2.01,13.22,1.62,3.17,4.26,1.84,2.15
f_0,,0.3,0.38,0.46,0.36,0.4,2.02,1.42,1.32,2.23,2.71,15.06,2.97,1.93,2.11,3.82
h_0,0.78,0.62,0.8,0.42,0.67,0.47,,3.04,2.39,2.29,2.86,2.42,,2.72,5.58,3.42
a_0,0.46,0.38,0.27,0.34,0.43,,1.5,2.16,1.41,1.88,1.91,1.93,3.04,21.21,3.44,
g_0,0.57,0.39,0.85,0.7,0.56,0.72,2.42,1.82,,2.28,3.43,3.96,5.23,2.1,,
e_0,0.26,,0.3,0.48,0.56,,1.34,1.88,1.36,2.12,2.66,2.04,3.6,,3.89,23.65
