,f_1,e_1,d_1,c_1,b_1,a_1,h_1,g_1,c_0,d_0,f_0,b_0,h_0,e_0,a_0,g_0
f_1,1.13,4.54,4.74,5.0,4.28,4.21,1.08,1.6,0.92,0.93,2.5,1.06,0.54,0.83,0.97,1.12
e_1,2.69,1.13,6.15,5.63,6.17,7.09,1.69,1.8,1.12,1.15,1.43,0.9,0.69,3.06,1.4,0.83
d_1,5.74,5.74,1.12,5.6,4.34,4.92,1.48,0.9,1.06,2.26,0.91,1.07,0.71,0.95,0.82,0.5
c_1,6.28,4.97,7.59,1.13,7.58,5.58,1.65,2.0,2.91,0.67,1.17,1.2,0.82,1.47,1.25,0.84
b_1,7.29,8.31,5.3,3.44,1.13,6.9,1.89,2.0,1.56,1.56,1.25,2.65,1.39,1.42,1.38,1.03
a_1,12.78,10.82,10.22,10.54,5.9,1.14,3.08,3.7,2.33,2.57,2.58,2.85,1.98,1.97,7.02,1.54
h_1,17.85,16.97,17.67,17.52,17.34,13.63,1.77,5.22,3.9,3.36,3.95,3.32,4.34,3.11,3.21,2.87
g_1,21.82,20.34,21.55,21.0,23.54,24.14,5.22,1.78,3.95,4.72,4.27,4.01,2.27,4.28,4.12,4.26
c_0,24.71,27.54,11.01,51.95,23.16,17.86,7.44,8.55,2.34,7.84,4.43,5.42,3.21,4.63,4.41,2.79
d_0,25.04,12.61,50.5,25.09,27.31,27.06,8.23,9.59,4.77,2.5,4.5,4.61,3.32,6.42,6.65,3.95
f_0,59.22,20.57,22.37,30.53,23.54,27.06,6.74,3.88,4.84,6.1,2.34,4.64,3.58,8.29,4.74,2.13
b_0,25.38,20.34,22.52,34.43,53.61,23.81,7.78,7.24,2.67,5.49,4.61,2.47,3.81,5.1,4.46,3.45
h_0,35.2,34.42,33.99,38.96,35.74,37.21,17.12,10.6,6.91,7.02,6.16,6.03,9.49,5.77,6.65,4.63
e_0,63.24,50.42,29.21,45.55,41.36,26.66,13.38,11.27,6.44,7.37,3.55,7.6,5.67,2.43,6.11,4.26
a_0,41.46,39.78,36.44,51.05,49.91,63.79,9.3,10.92,5.92,8.63,6.22,3.57,5.51,6.63,2.61,4.84
g_0,54.07,42.62,39.28,48.54,53.61,45.79,8.15,18.21,7.8,9.01,8.48,9.29,5.67,8.47,6.32,11.17
