,f_1,d_1,e_1,c_1,b_1,a_1,h_1,d_0,g_1,c_0,b_0,f_0,h_0,a_0,e_0,g_0
f_1,0.95,0.41,0.72,0.42,0.39,0.2,0.29,0.29,0.25,0.25,0.28,0.14,0.21,0.17,0.11,0.2
d_1,0.56,0.95,0.43,0.36,0.38,0.31,0.33,0.2,0.26,0.48,0.28,0.25,0.28,0.24,0.21,0.2
e_1,0.43,0.45,0.94,0.54,0.38,0.32,0.3,0.49,0.27,0.26,0.29,0.29,0.28,0.19,0.16,0.22
c_1,0.5,0.51,0.4,0.94,0.65,0.35,0.26,0.26,0.26,0.17,0.23,0.23,0.27,0.2,0.16,0.22
b_1,0.45,0.56,0.48,0.37,0.94,0.54,0.35,0.29,0.26,0.29,0.17,0.24,0.31,0.16,0.2,0.25
a_1,0.71,0.57,0.52,0.46,0.42,0.94,0.35,0.34,0.33,0.32,0.29,0.29,0.33,0.18,0.26,0.22
h_1,0.92,0.69,0.72,0.84,0.53,0.48,0.76,0.42,0.53,0.4,0.43,0.39,0.32,0.27,0.29,0.45
d_0,0.8,0.62,0.57,1.26,0.68,0.51,0.55,0.66,0.39,0.35,0.5,0.45,0.4,0.33,0.33,0.35
g_1,0.78,1.04,0.67,0.79,0.63,0.44,0.49,0.46,0.75,0.46,0.45,0.57,0.42,0.38,0.34,0.35
c_0,0.9,0.61,0.85,0.69,0.54,0.56,0.57,0.61,0.46,0.68,0.85,0.46,0.49,0.34,0.33,0.42
b_0,0.86,0.82,0.76,0.92,0.52,0.49,0.58,0.52,0.49,0.38,0.68,0.44,0.56,0.62,0.41,0.41
f_0,0.81,0.83,0.65,0.89,0.76,0.62,0.53,0.54,0.45,0.55,0.47,0.66,0.46,0.36,0.63,0.36
h_0,1.27,0.83,0.8,0.84,0.64,0.49,0.51,0.58,0.64,0.46,0.43,0.46,0.4,0.34,0.34,0.52
a_0,0.91,0.88,0.84,0.88,0.89,0.48,0.75,0.63,0.46,0.64,0.45,0.57,0.64,0.64,0.37,0.51
e_0,1.29,0.88,0.62,1.0,0.73,0.62,0.69,0.59,0.6,0.61,0.55,0.39,0.62,0.51,0.64,0.4
g_0,0.93,1.2,0.74,0.9,0.73,0.7,0.5,0.54,0.38,0.56,0.53,0.67,0.42,0.4,0.45,0.36
