,f_1,e_1,c_1,d_1,b_1,a_1,h_1,d_0,c_0,g_1,b_0,f_0,h_0,e_0,a_0,g_0
f_1,0.67,2.47,1.92,1.58,1.97,1.89,0.69,0.8,0.85,0.93,0.62,1.2,0.44,0.58,0.58,0.66
e_1,1.25,0.67,2.44,1.92,2.27,2.3,1.0,0.89,0.64,0.98,0.79,0.86,0.69,1.75,0.75,0.65
c_1,2.25,1.85,0.65,2.65,2.31,2.25,1.16,0.47,1.51,0.8,0.71,0.62,0.63,0.71,0.62,0.6
d_1,2.55,2.17,2.21,0.64,2.03,1.94,0.86,1.49,0.86,0.65,0.82,0.69,0.74,0.56,0.71,0.4
b_1,2.37,2.9,1.36,2.24,0.63,2.34,1.01,0.95,0.88,1.08,1.84,0.84,0.72,0.69,0.8,0.64
a_1,3.03,2.41,2.56,3.13,1.37,0.58,1.34,1.22,0.98,1.32,1.45,1.02,0.74,0.94,,0.77
h_1,2.91,2.52,2.59,3.0,2.87,2.09,0.59,1.2,0.78,1.53,0.87,0.86,1.71,0.9,0.99,0.95
d_0,2.76,1.78,3.36,5.39,2.99,2.11,1.33,0.68,1.12,1.39,1.08,1.01,0.79,0.87,0.84,0.85
c_0,2.89,3.49,6.08,1.88,3.15,2.4,1.53,1.05,0.64,1.27,1.3,1.16,0.78,0.97,0.97,0.79
g_1,3.2,3.24,3.26,3.4,3.17,1.89,1.01,1.17,1.04,0.56,1.14,1.2,0.69,1.13,1.11,0.92
b_0,3.79,2.52,4.38,2.8,7.44,2.28,1.26,1.09,0.67,1.37,0.61,0.99,0.83,1.29,1.18,0.77
f_0,5.98,3.05,3.08,2.87,3.15,2.55,1.49,1.16,1.06,0.91,1.16,0.62,1.02,1.16,1.11,0.62
h_0,4.33,2.94,3.32,2.89,3.26,3.45,2.15,1.27,1.26,1.56,1.2,1.36,1.45,1.15,1.14,1.22
e_0,5.95,4.59,3.18,3.94,3.07,3.46,1.5,1.14,1.54,1.33,1.12,0.72,1.13,0.6,1.36,1.16
a_0,4.38,3.13,4.45,3.61,4.51,,1.6,1.54,1.27,1.72,0.69,1.2,1.0,1.2,0.58,1.15
g_0,3.8,3.57,4.03,3.99,4.07,3.42,1.25,1.5,1.2,,1.28,1.5,0.84,1.13,1.17,
