,e_1,f_1,d_1,c_1,b_1,a_1,h_1,g_1,c_0,d_0,f_0,b_0,h_0,e_0,g_0,a_0
e_1,0.67,3.66,6.37,6.87,5.54,4.03,2.72,2.01,2.0,2.52,1.86,2.08,1.72,,1.99,2.09
f_1,6.82,0.67,5.63,4.71,5.19,4.81,1.91,3.52,2.27,1.92,,2.39,1.38,1.7,1.77,1.63
d_1,7.41,5.72,0.66,6.16,6.91,5.08,2.55,1.64,2.34,,2.43,2.51,1.81,1.84,1.13,1.37
c_1,5.94,6.24,6.17,0.65,8.66,5.72,2.97,2.65,,1.42,1.94,1.97,1.74,1.78,1.76,1.96
b_1,7.0,6.94,6.12,3.9,0.62,6.6,2.51,3.08,2.67,2.23,2.29,,1.94,2.83,1.62,
a_1,11.97,8.71,7.35,8.35,4.57,0.58,3.51,2.67,2.37,2.23,2.56,2.47,1.62,,2.28,
h_1,4.61,5.25,5.11,4.47,4.46,4.33,0.61,2.63,2.18,1.66,1.75,1.69,,1.54,1.38,2.12
g_1,5.79,5.38,6.75,7.1,6.54,5.59,1.61,0.58,1.89,2.19,2.51,1.64,1.33,1.71,,1.92
c_0,5.63,4.48,3.05,,4.59,4.41,1.96,2.06,0.71,2.12,1.9,2.23,1.36,1.78,1.21,1.75
d_0,3.12,4.89,,4.98,4.65,5.25,2.51,2.12,1.78,0.72,1.54,1.59,1.45,1.56,1.37,1.72
f_0,5.3,,5.46,5.36,4.75,5.17,2.36,1.75,1.63,1.74,0.67,2.09,1.52,1.51,1.24,1.78
b_0,4.89,5.12,4.4,5.57,,6.22,2.37,2.36,1.13,2.04,1.84,0.67,1.48,2.4,2.12,1.83
h_0,3.75,4.23,4.14,3.65,4.27,4.94,,2.32,1.77,1.66,2.06,1.88,,1.44,1.34,1.67
e_0,,7.87,6.26,6.5,4.95,,2.94,2.54,2.19,2.37,1.5,1.73,1.68,0.62,1.25,
g_0,4.73,6.15,4.95,4.99,4.96,4.8,2.37,,1.8,1.72,1.67,1.61,1.16,1.99,,1.39
a_0,6.4,8.9,9.99,6.6,,,2.3,2.47,2.14,2.01,2.02,1.44,1.87,,2.11,0.6
