,e_1,f_1,d_1,c_1,b_1,a_1,h_1,d_0,g_1,c_0,b_0,f_0,h_0,a_0,g_0,e_0
e_1,1.0,0.66,0.81,1.03,1.13,1.21,1.2,1.14,1.07,1.17,0.89,1.04,0.92,1.29,1.0,
f_1,1.52,1.0,1.08,1.03,1.05,0.89,0.77,1.01,0.81,0.85,0.98,,0.9,0.87,1.22,0.71
d_1,1.23,0.93,1.0,0.85,0.97,0.97,1.1,,0.79,1.53,1.12,0.93,1.08,0.87,0.78,0.86
c_1,0.97,0.97,1.17,1.0,1.29,1.16,1.39,0.72,1.14,,0.79,0.94,0.99,1.15,0.92,0.87
b_1,0.89,0.95,1.03,0.77,1.0,1.23,1.18,0.85,1.0,1.15,,1.08,0.89,1.04,1.13,
a_1,0.82,1.12,1.03,0.86,0.81,1.0,0.91,1.02,,1.07,1.03,1.18,1.27,,0.86,1.08
h_1,0.83,1.3,0.91,0.72,0.85,1.1,1.0,1.11,1.36,0.78,0.77,0.88,,1.0,1.56,1.13
d_0,0.88,0.99,,1.39,1.17,0.98,0.9,1.0,0.77,0.8,1.27,0.92,1.1,0.89,0.86,1.17
g_1,0.94,1.24,1.26,0.88,1.0,,0.74,1.3,1.0,1.12,1.18,1.17,0.76,0.77,,1.04
c_0,0.86,1.17,0.65,,0.87,0.94,1.28,1.24,0.89,1.0,1.33,1.08,1.18,0.85,0.98,0.85
b_0,1.13,1.02,0.89,1.27,,0.97,1.29,0.78,0.85,0.75,1.0,1.27,0.94,1.56,0.82,0.78
f_0,0.96,,1.08,1.07,0.93,0.85,1.14,1.09,0.85,0.93,0.78,1.0,1.35,0.95,0.89,
h_0,1.08,1.11,0.92,1.02,1.13,0.79,,0.91,1.32,0.85,1.06,0.74,,0.94,1.0,1.15
a_0,0.77,1.15,1.15,0.87,0.96,,1.0,1.12,1.29,1.18,0.64,1.05,1.07,1.0,,
g_0,1.0,0.82,1.28,1.09,0.89,1.17,0.64,1.17,,1.02,1.22,1.12,1.0,,,
e_0,,1.41,1.16,1.15,,0.93,0.88,0.85,0.96,1.18,1.28,,0.87,,,1.0
