,e_1,f_1,d_1,c_1,b_1,a_1,h_1,d_0,c_0,g_1,b_0,f_0,h_0,a_0,g_0,e_0
e_1,11.88,0.79,0.57,0.86,0.59,0.66,0.77,2.24,0.84,0.92,0.89,0.95,1.09,0.86,0.92,0.51
f_1,1.6,12.87,0.65,0.55,0.55,0.47,0.88,0.98,0.85,1.02,0.96,0.55,0.95,0.82,0.85,0.7
d_1,0.66,0.77,14.47,0.56,0.56,0.61,1.0,0.42,2.36,0.78,1.29,1.01,0.92,1.05,1.12,0.97
c_1,0.55,0.62,0.57,14.46,1.62,0.67,0.74,0.93,0.47,0.75,0.59,0.85,1.01,0.74,0.93,1.07
b_1,0.55,0.52,0.74,0.7,14.34,1.81,0.95,0.83,0.74,0.76,0.6,0.94,0.9,0.81,0.97,1.05
a_1,0.5,0.65,0.65,0.8,0.67,21.44,1.24,0.91,0.97,0.91,1.06,1.21,1.13,0.9,0.87,1.15
h_1,0.61,1.18,0.97,0.68,0.66,0.55,3.83,0.99,1.11,1.68,1.13,1.0,0.56,1.12,1.46,1.18
d_0,0.59,0.76,0.47,1.97,0.82,0.7,1.01,2.18,0.59,1.26,0.95,1.05,1.22,0.83,1.09,1.24
c_0,0.65,0.78,0.98,0.53,0.63,0.77,1.31,0.97,2.36,1.21,3.5,1.29,1.0,1.8,1.23,1.36
g_1,0.72,0.77,1.26,0.67,0.58,0.5,1.08,1.01,1.04,4.57,1.16,2.01,0.86,1.01,0.8,1.45
b_0,0.83,0.88,0.76,0.72,0.49,0.58,1.09,0.91,1.15,1.33,2.83,1.25,1.47,3.44,1.09,1.24
f_0,0.54,0.64,0.82,0.82,0.8,0.8,1.5,1.01,1.08,1.1,1.33,3.25,1.13,1.48,1.37,3.48
h_0,0.7,1.37,0.84,0.67,0.72,0.67,0.69,0.97,1.03,1.61,0.95,1.06,0.85,1.18,1.64,0.91
a_0,0.81,0.78,0.93,0.88,0.84,0.44,1.36,0.92,1.05,1.49,1.26,1.04,1.23,4.17,1.42,1.09
g_0,0.61,0.51,2.16,0.75,0.71,0.49,0.97,0.78,1.17,0.75,1.14,2.01,1.03,0.99,0.71,1.06
e_0,0.48,0.85,1.08,0.68,0.67,0.84,1.42,0.73,1.28,1.48,1.13,1.32,1.49,1.24,1.5,3.48
