,e_1,f_1,d_1,c_1,b_1,a_1,h_1,g_1,c_0,d_0,b_0,f_0,h_0,a_0,e_0,g_0
e_1,1.05,1.2,1.73,1.98,1.66,1.35,0.6,0.67,0.53,0.62,0.51,0.59,0.4,0.44,0.6,0.46
f_1,1.91,1.05,1.59,1.67,1.54,1.45,0.53,0.72,0.46,0.47,0.52,0.5,0.31,0.42,0.33,0.41
d_1,1.96,2.08,1.05,1.81,1.75,1.53,0.62,0.49,0.57,0.7,0.49,0.51,0.41,0.51,0.44,0.28
c_1,1.68,1.88,2.42,1.05,2.12,1.61,0.74,0.73,0.65,0.38,0.54,0.52,0.46,0.5,0.47,0.4
b_1,1.98,2.27,2.28,1.23,1.06,2.28,0.92,0.77,0.77,0.6,0.75,0.65,0.57,0.63,0.57,0.49
a_1,2.82,2.89,2.5,2.79,1.58,1.07,1.13,0.95,0.91,0.89,1.17,0.89,0.83,0.97,0.74,0.6
h_1,5.27,5.72,4.44,5.24,4.72,3.45,1.27,2.1,1.41,1.36,1.35,1.52,1.28,1.25,1.14,1.18
g_1,5.04,5.39,5.4,5.69,5.16,4.28,1.7,1.29,1.65,1.67,1.57,1.71,0.98,1.31,1.35,1.07
c_0,6.14,6.28,3.76,8.56,5.69,4.25,2.17,1.97,1.37,2.44,1.95,1.64,1.39,1.59,1.77,1.21
d_0,4.09,6.59,7.4,6.53,5.88,4.63,2.42,2.24,1.68,1.46,1.83,1.63,1.42,1.41,1.62,1.42
b_0,6.03,6.62,5.4,7.5,7.22,4.11,2.56,2.13,1.25,1.95,1.38,1.61,1.44,1.93,1.52,1.16
f_0,5.64,8.5,6.13,7.21,6.02,5.13,2.17,1.53,1.99,2.01,2.03,1.41,1.64,1.83,2.6,1.08
h_0,6.97,8.93,7.18,7.41,6.73,5.13,3.28,3.06,2.05,2.3,2.11,1.96,1.86,1.98,2.03,1.73
a_0,7.73,9.04,6.52,8.85,7.97,7.67,2.92,3.1,2.0,2.86,1.46,2.25,1.58,1.49,2.48,1.6
e_0,10.1,11.55,8.67,7.98,7.55,6.43,3.63,2.91,2.49,2.63,2.82,1.59,2.19,2.2,1.52,1.84
g_0,8.31,10.08,8.24,10.22,9.57,7.71,2.61,4.51,2.47,2.84,2.7,2.89,1.86,2.24,2.59,2.12
