,f_1,e_1,d_1,c_1,b_1,a_1,h_1,c_0,d_0,g_1,b_0,f_0,a_0,h_0,e_0,g_0
f_1,1.0,1.37,0.84,0.87,0.9,0.65,0.49,0.44,0.42,0.48,0.47,,0.33,0.28,0.34,0.35
e_1,0.73,1.0,1.04,0.81,0.86,0.8,0.45,0.41,0.54,0.5,0.44,0.52,0.36,0.34,,0.36
d_1,1.19,0.96,1.0,0.83,0.91,0.87,0.59,0.61,,0.4,0.45,0.44,0.37,0.34,0.36,0.25
c_1,1.15,1.23,1.21,1.0,1.58,0.77,0.44,,0.36,0.47,0.38,0.43,0.46,0.36,0.36,0.26
b_1,1.12,1.17,1.1,0.63,1.0,1.18,0.56,0.47,0.58,0.59,,0.39,0.32,0.45,0.27,0.37
a_1,1.55,1.25,1.15,1.3,0.85,1.0,0.82,0.62,0.6,0.49,0.54,0.43,,0.42,0.48,0.43
h_1,2.06,2.23,1.7,2.26,1.77,1.22,1.0,1.06,0.94,1.05,0.81,0.88,0.65,,0.57,0.62
c_0,2.29,2.46,1.65,,2.14,1.61,0.94,1.0,0.83,1.1,1.27,0.81,0.73,0.78,0.79,0.67
d_0,2.36,1.84,,2.74,1.73,1.65,1.07,1.2,1.0,0.96,1.01,1.04,0.71,0.57,1.05,0.62
g_1,2.07,2.01,2.51,2.11,1.71,2.04,0.95,0.91,1.05,1.0,0.86,1.06,0.79,0.93,,
b_0,2.12,2.28,2.23,2.61,,1.85,1.24,0.79,0.99,1.17,1.0,0.91,1.32,0.69,0.72,0.73
f_0,,1.92,2.25,2.35,2.54,2.31,1.13,1.23,0.96,0.94,1.1,1.0,1.21,0.87,1.19,0.67
a_0,3.04,2.78,2.7,2.19,3.17,,1.55,1.37,1.42,1.27,0.76,0.82,1.0,1.18,1.14,
h_0,3.6,2.91,2.93,2.77,2.21,2.35,,1.28,1.76,1.07,1.45,1.16,0.85,,0.75,1.01
e_0,2.95,,2.79,2.76,3.65,2.09,1.74,1.27,0.96,,1.39,0.84,0.88,1.33,1.0,
g_0,2.86,2.8,3.93,3.81,2.73,2.31,1.61,1.49,1.62,,1.37,1.49,,0.99,,
