,e_1,f_1,c_1,d_1,b_1,a_1,h_1,d_0,c_0,b_0,g_1,f_0,h_0,a_0,e_0,g_0
e_1,0.45,0.95,1.78,1.54,2.0,1.89,0.52,0.33,0.33,0.28,0.53,0.48,0.27,0.31,0.69,0.38
f_1,1.45,0.45,1.72,1.58,1.56,1.42,0.32,0.39,0.3,0.31,0.46,0.53,0.19,0.34,0.28,0.28
c_1,1.33,1.82,0.42,2.7,1.65,1.58,0.47,0.19,0.78,0.39,0.51,0.35,0.23,0.32,0.38,0.23
d_1,2.2,1.86,1.73,0.4,1.75,1.77,0.52,0.93,0.34,0.42,0.35,0.34,0.25,0.37,0.3,0.15
b_1,1.97,2.03,1.03,2.11,0.38,2.16,0.63,0.49,0.46,1.12,0.63,0.55,0.37,0.5,0.38,0.26
a_1,2.68,3.16,2.32,2.2,1.11,0.32,0.69,0.64,0.6,0.72,0.73,0.45,0.35,1.09,0.5,0.44
h_1,2.71,3.43,2.64,2.66,3.14,2.61,0.32,0.62,0.56,0.53,0.65,0.57,0.65,0.58,0.58,0.4
d_0,1.73,3.2,3.1,6.21,3.01,3.11,1.1,0.38,0.65,0.66,1.24,0.59,0.54,0.58,0.8,0.55
c_0,3.8,3.67,8.21,1.69,3.65,2.59,0.91,0.94,0.35,0.58,0.79,0.66,0.46,0.6,0.71,0.4
b_0,3.09,4.16,5.77,2.8,5.87,3.19,0.9,0.75,0.4,0.32,0.86,0.67,0.5,0.67,0.77,0.54
g_1,3.84,4.39,4.12,3.02,4.23,3.98,0.81,0.8,0.63,0.68,0.26,0.58,0.32,0.53,0.55,0.79
f_0,3.74,7.15,4.74,3.36,3.69,3.16,0.98,0.8,0.68,0.73,0.65,0.3,0.49,0.7,0.72,0.29
h_0,3.74,4.58,4.11,3.51,3.97,2.84,2.03,0.87,0.74,0.88,1.18,0.72,0.75,0.85,0.69,0.56
a_0,3.83,3.59,5.59,3.65,5.49,6.58,1.39,0.98,0.69,0.39,0.97,0.91,0.63,0.32,0.73,0.62
e_0,7.06,5.25,3.98,3.48,4.07,3.43,1.09,0.94,0.81,0.94,1.07,0.36,0.6,0.95,0.3,0.5
g_0,4.26,4.78,4.8,4.05,4.73,4.05,1.01,0.9,0.87,0.79,1.72,0.78,0.47,0.87,0.8,0.76
