,d_1,e_1,f_1,c_1,b_1,a_1,h_1,g_1,c_0,d_0,b_0,f_0,h_0,g_0,a_0,e_0
d_1,1.0,1.08,1.02,0.9,0.94,0.77,0.65,0.52,0.84,0.7,0.71,0.59,0.64,0.52,0.55,0.48
e_1,0.91,1.0,0.75,1.17,0.95,0.85,0.88,0.78,0.68,0.95,0.73,0.67,0.6,0.59,0.59,0.62
f_1,0.99,1.33,1.0,0.98,0.81,0.82,0.63,0.62,0.54,0.6,0.61,0.61,0.47,0.52,0.51,0.5
c_1,1.12,0.85,1.02,1.0,1.34,0.81,0.78,0.75,0.6,0.47,0.45,0.52,0.61,0.64,0.52,0.64
b_1,1.07,1.05,1.23,0.74,1.0,1.32,0.65,0.68,0.73,0.72,0.69,0.69,0.67,0.66,0.46,0.55
a_1,1.3,1.17,1.22,1.25,0.76,1.0,0.88,0.79,0.81,0.8,0.92,0.86,0.84,0.6,1.08,0.68
h_1,1.45,1.15,1.6,1.3,1.48,1.17,1.0,1.24,0.95,0.85,0.84,0.87,0.84,0.97,0.86,0.84
g_1,1.97,1.33,1.55,1.35,1.41,1.23,0.82,1.0,0.88,0.81,0.89,1.03,0.71,0.84,0.88,0.87
c_0,1.19,1.46,1.79,1.84,1.3,1.16,1.06,1.17,1.0,1.16,1.37,0.94,1.05,0.86,1.04,0.87
d_0,1.39,1.07,1.64,2.15,1.45,1.22,1.17,1.28,0.83,1.0,0.86,0.92,0.92,0.92,0.95,0.93
b_0,1.41,1.46,1.63,2.2,1.4,1.04,1.15,1.1,0.71,1.16,1.0,0.88,0.97,0.87,1.53,0.83
f_0,1.68,1.5,1.59,1.94,1.52,1.21,1.17,0.98,1.08,1.13,1.11,1.0,1.14,0.71,0.91,1.28
h_0,1.61,1.71,2.16,1.6,1.46,1.14,1.19,1.38,0.96,1.06,1.03,0.88,1.0,1.17,0.8,0.96
g_0,1.93,1.71,1.88,1.66,1.51,1.64,1.0,1.22,1.14,1.08,1.03,1.43,0.84,1.0,1.0,1.04
a_0,1.77,1.64,1.92,1.9,2.21,1.05,1.16,1.16,0.95,1.08,0.72,1.08,1.33,1.01,1.0,1.0
e_0,2.04,1.52,2.13,1.54,1.69,1.46,1.24,1.09,1.13,1.11,1.18,0.81,1.11,0.96,1.08,1.0
