,f_1,e_1,d_1,c_1,b_1,a_1,h_1,g_1,d_0,c_0,b_0,f_0,h_0,a_0,g_0,e_0
f_1,1.04,1.72,1.45,1.37,1.28,1.07,0.44,0.52,0.44,0.39,0.41,0.45,0.28,0.33,0.31,0.29
e_1,1.09,1.04,1.56,1.6,1.45,1.33,0.57,0.59,0.57,0.46,0.49,0.52,0.36,0.39,0.38,0.41
d_1,1.67,1.73,1.04,1.67,1.5,1.19,0.56,0.43,0.57,0.48,0.45,0.42,0.34,0.42,0.26,0.39
c_1,1.7,1.45,1.72,1.05,1.85,1.55,0.63,0.6,0.35,0.54,0.44,0.47,0.4,0.45,0.35,0.41
b_1,2.07,1.82,1.94,1.25,1.05,1.85,0.79,0.69,0.58,0.75,0.71,0.53,0.45,0.46,0.44,0.49
a_1,2.82,2.37,2.69,2.04,1.42,1.06,1.08,0.87,0.73,0.87,0.9,0.73,0.61,0.81,0.52,0.66
h_1,5.05,4.26,4.16,4.38,4.0,3.13,1.24,1.62,1.4,1.15,1.2,1.1,1.05,1.0,1.04,1.06
g_1,5.04,5.18,5.07,5.1,4.7,3.94,1.6,1.26,1.68,1.45,1.54,1.51,0.99,1.28,1.25,1.18
d_0,5.3,3.71,5.72,6.4,4.81,4.33,1.93,2.01,1.35,1.42,1.7,1.47,1.38,1.49,1.2,1.36
c_0,6.58,5.68,3.92,6.72,5.14,4.05,2.15,1.95,2.07,1.33,1.89,1.43,1.37,1.51,1.12,1.36
b_0,6.46,5.3,4.77,6.88,5.99,4.0,2.14,2.04,1.6,1.08,1.33,1.44,1.3,1.67,1.07,1.3
f_0,7.52,5.82,6.16,6.3,5.64,5.12,2.6,1.76,1.89,1.78,1.95,1.36,1.43,1.73,0.98,1.88
h_0,7.8,7.25,6.91,6.65,5.77,5.09,3.19,2.77,2.1,1.84,2.0,1.75,1.79,1.67,1.45,1.43
a_0,8.8,8.26,6.79,7.43,8.31,7.02,2.79,2.58,2.38,1.79,1.48,2.02,1.65,1.44,1.6,1.58
g_0,8.79,8.03,8.92,8.59,7.33,6.9,2.54,3.37,2.77,2.27,2.49,2.42,1.63,2.25,1.83,2.09
e_0,12.65,9.0,8.21,8.36,8.5,6.83,2.93,2.92,2.5,2.28,2.33,1.39,2.14,2.0,1.55,1.48
