,d_1,f_1,e_1,c_1,b_1,a_1,h_1,g_1,c_0,d_0,b_0,f_0,a_0,h_0,e_0,g_0
d_1,0.95,0.53,0.44,0.35,0.33,0.31,0.32,0.22,0.41,0.19,0.31,0.26,0.24,0.27,0.18,0.23
f_1,0.46,0.95,0.66,0.38,0.38,0.24,0.28,0.25,0.28,0.29,0.26,0.17,0.24,0.22,0.14,0.21
e_1,0.47,0.44,0.94,0.57,0.39,0.29,0.31,0.27,0.29,0.48,0.31,0.26,0.23,0.26,0.15,0.23
c_1,0.53,0.51,0.38,0.95,0.61,0.34,0.33,0.3,0.16,0.23,0.18,0.25,0.19,0.25,0.2,0.21
b_1,0.56,0.52,0.44,0.41,0.94,0.53,0.34,0.3,0.32,0.31,0.17,0.24,0.19,0.25,0.19,0.23
a_1,0.54,0.58,0.48,0.56,0.44,0.94,0.46,0.32,0.31,0.34,0.33,0.31,0.12,0.31,0.3,0.31
h_1,0.85,0.98,0.65,0.62,0.52,0.37,0.76,0.52,0.45,0.42,0.47,0.37,0.32,0.35,0.33,0.43
g_1,1.12,0.72,0.66,0.66,0.53,0.46,0.49,0.76,0.41,0.4,0.51,0.57,0.38,0.43,0.42,0.3
c_0,0.8,0.83,0.86,0.71,0.52,0.45,0.53,0.49,0.68,0.52,0.75,0.41,0.42,0.4,0.35,0.4
d_0,0.72,0.8,0.67,1.27,0.65,0.48,0.5,0.47,0.33,0.64,0.42,0.39,0.38,0.44,0.29,0.32
b_0,0.86,0.97,0.71,1.06,0.52,0.38,0.53,0.44,0.43,0.51,0.67,0.42,0.61,0.45,0.32,0.39
f_0,1.0,0.62,0.71,0.82,0.73,0.52,0.62,0.48,0.6,0.49,0.51,0.66,0.4,0.46,0.7,0.42
a_0,0.91,0.91,0.85,1.04,0.71,0.44,0.59,0.52,0.51,0.5,0.48,0.46,0.64,0.53,0.36,0.42
h_0,0.98,1.2,0.85,0.86,0.64,0.51,0.45,0.64,0.52,0.5,0.49,0.45,0.44,0.38,0.29,0.46
e_0,1.02,0.96,0.71,0.97,0.89,0.56,0.61,0.48,0.57,0.55,0.55,0.4,0.41,0.59,0.64,0.38
g_0,1.37,0.9,0.79,0.81,0.68,0.47,0.57,0.45,0.6,0.51,0.53,0.61,0.41,0.51,0.48,0.37
