,d_1,f_1,e_1,c_1,b_1,a_1,h_1,g_1,d_0,c_0,b_0,f_0,h_0,a_0,g_0,e_0
d_1,1.0,1.1,1.0,0.9,0.97,0.93,1.01,0.87,1.02,1.22,1.05,1.03,1.0,1.09,0.87,1.04
f_1,0.92,1.0,1.23,1.03,0.96,0.92,0.87,1.02,1.03,0.91,0.92,0.91,0.89,0.88,1.04,0.78
e_1,0.99,0.83,1.0,1.14,1.01,1.02,1.03,1.08,1.32,1.02,1.07,1.07,0.97,1.03,1.04,0.97
c_1,1.12,0.94,0.87,1.0,1.32,0.94,0.99,1.03,0.73,0.83,0.78,1.06,1.05,0.92,1.01,0.97
b_1,1.01,1.06,0.97,0.79,1.0,1.4,1.01,0.96,0.95,1.09,1.07,1.0,1.03,0.99,1.07,1.04
a_1,1.03,1.04,0.97,1.09,0.73,1.0,1.23,1.12,1.09,1.04,1.15,0.95,1.18,1.2,1.07,1.09
h_1,0.99,1.13,0.98,1.0,0.94,0.84,1.0,1.19,0.9,0.89,0.89,0.86,1.07,0.95,1.08,0.94
g_1,1.14,0.98,0.91,0.95,1.0,0.87,0.83,1.0,0.92,1.03,0.99,1.18,0.9,0.96,0.95,1.11
d_0,0.98,0.98,0.78,1.39,1.03,0.88,1.07,1.04,1.0,0.91,1.04,0.92,1.11,0.89,1.01,1.12
c_0,0.83,1.11,1.0,1.2,0.93,0.95,1.12,1.0,1.15,1.0,1.36,1.02,1.12,1.12,1.05,1.19
b_0,0.98,1.09,0.94,1.22,0.92,0.85,1.08,1.01,0.94,0.73,1.0,0.99,0.97,1.27,1.04,0.92
f_0,0.97,1.06,0.91,0.95,1.0,1.08,1.06,0.83,0.97,1.01,1.03,1.0,1.0,1.02,0.83,1.61
h_0,1.0,1.13,1.03,0.95,0.99,0.88,0.94,1.07,0.92,0.9,1.01,0.98,1.0,0.92,1.14,0.89
a_0,0.98,1.2,0.99,1.08,1.0,0.79,1.07,1.1,1.07,0.91,0.83,0.92,1.06,1.0,0.99,0.92
g_0,1.13,0.97,0.94,0.99,0.95,0.95,0.92,1.03,0.89,0.98,1.03,1.21,0.89,1.0,1.0,1.16
e_0,0.98,1.22,1.06,0.99,1.05,0.99,1.01,0.91,0.84,0.79,1.02,0.69,1.09,1.02,0.89,1.0
