,f_1,e_1,d_1,c_1,b_1,a_1,h_1,g_1,c_0,d_0,b_0,f_0,h_0,e_0,a_0,g_0
f_1,2.42,2.22,1.36,1.58,1.21,1.36,2.52,2.93,2.93,3.33,3.3,2.5,3.93,2.25,3.11,3.88
e_1,1.38,2.46,1.4,1.87,1.44,1.42,2.99,2.99,2.77,5.17,3.49,3.85,4.14,2.93,3.47,4.18
d_1,1.58,1.41,2.49,1.27,1.55,1.49,2.83,2.52,5.05,2.34,3.61,3.3,3.92,3.68,3.13,3.57
c_1,1.49,1.29,1.48,2.7,2.39,1.54,2.81,2.98,2.01,2.69,2.57,2.94,3.56,2.91,3.01,3.87
b_1,1.75,1.38,1.5,1.21,2.73,2.26,2.82,2.69,3.45,3.11,2.69,3.35,4.43,3.19,3.03,3.95
a_1,1.69,1.34,1.55,1.55,1.36,3.44,3.37,2.53,3.57,3.1,3.7,2.83,4.11,3.93,3.01,4.24
h_1,1.93,1.47,1.6,1.55,1.62,1.41,4.16,3.45,2.78,2.86,3.06,3.4,3.46,3.14,3.9,5.53
g_1,1.41,1.37,2.04,1.46,1.58,1.53,2.91,4.52,3.21,3.05,3.33,4.7,3.71,3.5,3.5,3.84
c_0,1.64,1.75,1.39,1.6,1.2,1.52,3.25,3.34,4.24,4.15,5.95,3.73,4.59,3.82,4.42,4.51
d_0,1.51,1.36,1.38,2.66,1.58,1.42,3.14,2.96,2.22,4.33,3.2,3.15,4.19,3.88,3.47,4.91
b_0,1.61,1.47,1.57,1.79,1.39,1.32,3.21,3.32,2.8,3.63,4.46,3.48,4.8,4.0,6.23,4.69
f_0,1.24,1.23,1.85,1.75,1.65,1.66,2.92,2.86,3.57,3.5,3.59,4.56,4.81,6.65,4.06,4.18
h_0,1.77,1.65,1.72,1.76,1.24,1.46,2.64,3.97,3.28,3.35,3.32,3.11,3.48,3.04,3.39,4.98
e_0,2.02,1.35,1.61,1.56,1.54,1.65,3.44,3.06,3.3,2.88,3.56,2.4,4.79,5.28,3.88,4.56
a_0,1.62,1.49,1.7,1.68,1.42,1.22,2.97,3.12,3.44,3.29,3.07,3.62,4.99,3.66,5.24,5.09
g_0,1.32,1.46,2.17,1.74,1.4,1.46,2.55,2.96,3.43,2.85,3.66,4.65,4.29,4.09,3.66,3.73
