,e_1,d_1,f_1,c_1,b_1,a_1,h_1,g_1,d_0,c_0,b_0,f_0,h_0,a_0,e_0,g_0
e_1,0.65,1.04,0.73,1.18,1.11,1.05,0.51,0.55,0.54,0.42,0.47,0.47,0.36,0.38,0.49,0.34
d_1,1.31,0.64,1.23,0.98,1.03,0.92,0.5,0.35,0.48,0.43,0.4,0.36,0.28,0.39,0.31,0.24
f_1,1.28,1.0,0.65,1.02,1.07,0.95,0.37,0.47,0.39,0.38,0.38,0.46,0.25,0.36,0.3,0.34
c_1,0.93,1.36,1.13,0.63,1.29,0.94,0.48,0.49,0.26,0.45,0.37,0.35,0.32,0.34,0.35,0.3
b_1,1.12,1.18,1.22,0.74,0.63,1.28,0.64,0.54,0.45,0.53,0.51,0.46,0.35,0.37,0.43,0.35
a_1,1.26,1.39,1.43,1.65,0.8,0.57,0.61,0.74,0.6,0.47,0.58,0.52,0.5,0.55,0.53,0.39
h_1,1.62,1.65,2.1,1.94,1.45,1.57,0.55,0.86,0.67,0.63,0.67,0.61,0.65,0.54,0.56,0.53
g_1,1.97,2.0,1.94,1.82,1.71,1.41,0.62,0.54,0.62,0.67,0.61,0.67,0.45,0.54,0.63,0.53
d_0,1.2,2.53,1.96,2.34,1.89,1.63,0.9,1.07,0.58,0.71,0.78,0.64,0.56,0.67,0.67,0.53
c_0,1.93,1.33,1.96,2.5,1.84,1.65,0.85,0.81,0.96,0.57,0.86,0.8,0.62,0.7,0.67,0.54
b_0,1.73,1.68,1.96,2.73,2.65,1.61,0.83,0.9,0.75,0.42,0.56,0.71,0.56,0.69,0.64,0.54
f_0,1.96,1.95,2.37,2.56,1.93,1.56,0.94,0.68,0.81,0.67,0.69,0.55,0.62,0.59,0.81,0.4
h_0,2.27,2.51,2.33,2.16,2.12,1.87,1.05,1.04,0.78,0.78,0.83,0.73,0.76,0.71,0.64,0.64
a_0,2.23,2.12,2.31,2.35,3.12,2.27,1.13,1.15,0.89,0.71,0.55,0.85,0.7,0.55,0.78,0.59
e_0,2.43,2.39,2.91,2.58,2.5,1.95,1.15,0.95,0.87,0.88,0.85,0.48,0.67,0.73,0.53,0.55
g_0,2.57,2.7,2.24,2.52,2.32,2.25,0.89,1.37,0.98,0.91,0.94,1.0,0.59,0.84,0.82,0.77
