,e_1,f_1,d_1,c_1,b_1,a_1,h_1,g_1,d_0,c_0,b_0,f_0,h_0,g_0,a_0,e_0
e_1,2.23,0.26,0.21,0.25,0.21,0.15,0.51,0.34,0.86,0.33,0.47,0.38,0.54,0.42,0.3,0.14
f_1,0.43,2.27,0.19,0.2,0.17,0.17,0.41,0.39,0.52,0.57,0.46,0.11,0.51,0.41,0.26,0.33
d_1,0.23,0.24,2.37,0.17,0.22,0.13,0.38,0.35,0.15,0.94,0.48,0.46,0.62,0.53,0.42,0.34
c_1,0.23,0.22,0.25,2.4,0.35,0.17,0.45,0.37,0.43,0.12,0.25,0.39,0.64,0.5,0.41,0.31
b_1,0.2,0.25,0.22,0.24,2.51,0.3,0.31,0.3,0.49,0.53,0.15,0.48,0.74,0.54,0.3,0.36
a_1,0.24,0.23,0.18,0.24,0.24,3.05,0.45,0.39,0.49,0.32,0.47,0.43,0.55,0.54,0.12,0.29
h_1,0.33,0.52,0.43,0.36,0.38,0.25,2.74,0.7,0.74,0.67,0.89,0.95,0.33,1.12,0.76,0.75
g_1,0.34,0.39,0.6,0.43,0.26,0.24,0.72,3.11,0.62,0.62,0.66,1.3,0.89,0.36,0.7,0.69
d_0,0.42,0.44,0.13,0.69,0.42,0.28,0.69,0.69,2.2,0.57,0.68,0.97,1.08,0.88,0.63,0.71
c_0,0.48,0.4,0.48,0.18,0.22,0.32,0.9,0.91,0.94,2.36,1.7,1.02,0.88,1.25,0.8,0.48
b_0,0.39,0.44,0.44,0.54,0.13,0.27,0.97,0.64,0.94,0.59,2.49,0.73,1.06,1.11,1.29,0.72
f_0,0.36,0.2,0.47,0.43,0.37,0.31,0.69,0.79,0.83,0.86,0.86,2.49,1.16,1.3,0.78,1.61
h_0,0.35,0.66,0.38,0.38,0.33,0.32,0.32,0.77,0.88,0.7,0.71,0.65,0.35,1.14,0.76,0.61
g_0,0.31,0.36,0.74,0.36,0.37,0.28,0.72,0.22,0.63,0.55,0.86,1.08,0.94,0.43,0.55,0.54
a_0,0.43,0.43,0.41,0.48,0.32,0.21,0.77,0.66,0.87,1.12,1.0,0.85,1.36,1.13,2.82,0.54
e_0,0.16,0.42,0.41,0.52,0.4,0.37,0.85,0.71,0.82,0.96,0.88,1.03,1.06,1.03,0.71,2.97
