,f_1,e_1,c_1,d_1,b_1,a_1,h_1,d_0,c_0,g_1,b_0,f_0,h_0,e_0,a_0,g_0
f_1,5.53,1.15,0.58,0.54,0.57,0.48,2.41,2.87,2.94,2.01,2.25,0.61,3.52,1.8,2.56,4.1
e_1,0.58,5.67,0.7,0.63,0.39,0.6,2.3,5.11,2.39,1.81,3.63,3.11,4.66,0.84,3.34,4.4
c_1,0.63,0.49,6.53,0.52,1.21,0.56,2.17,2.9,0.59,2.21,2.05,3.07,4.58,3.68,2.66,3.94
d_1,0.79,0.65,0.43,6.73,0.61,0.45,1.93,0.58,5.04,2.12,2.99,3.29,5.3,3.06,3.34,4.7
b_1,0.59,0.44,0.67,0.64,7.39,1.4,2.14,2.48,2.5,1.77,0.4,2.84,4.17,3.46,1.95,3.36
a_1,0.56,0.47,0.51,0.58,0.69,10.32,2.73,3.13,3.46,3.32,3.0,3.07,3.84,2.75,,4.29
h_1,1.52,0.9,0.82,1.22,0.98,0.86,15.76,4.02,4.47,4.88,5.51,5.23,3.05,6.41,4.77,10.46
d_0,0.98,1.06,2.15,0.39,1.02,0.84,2.86,12.48,5.17,3.55,5.99,5.81,8.8,7.17,5.0,7.8
c_0,0.99,1.22,0.46,1.17,0.97,1.05,5.09,4.6,14.8,4.37,10.84,6.45,8.42,4.66,6.14,9.91
g_1,0.89,0.86,1.26,1.67,0.85,0.92,2.88,4.14,5.05,20.04,4.51,8.9,7.27,6.3,4.53,1.49
b_0,1.33,1.07,1.22,0.99,0.31,0.54,4.73,5.03,5.91,4.23,17.92,5.32,8.93,6.48,12.91,8.69
f_0,0.46,0.94,1.4,1.45,0.96,0.88,4.63,5.17,4.57,4.03,5.84,17.6,6.42,15.76,5.65,7.56
h_0,1.54,0.89,1.15,1.08,0.85,1.06,1.06,5.79,6.09,5.18,6.05,4.43,3.57,4.59,5.93,10.65
e_0,1.19,0.28,1.1,1.58,1.15,1.03,4.31,6.21,5.55,3.83,4.07,6.72,7.21,22.92,7.34,9.84
a_0,1.31,1.04,1.2,1.28,1.01,,3.89,6.06,6.36,3.28,5.75,5.1,8.07,6.73,25.03,9.0
g_0,0.85,0.85,1.07,1.94,0.92,1.02,3.2,4.64,5.87,,5.74,7.56,5.96,4.92,4.72,
