,e_1,f_1,d_1,c_1,b_1,a_1,h_1,d_0,g_1,c_0,b_0,f_0,h_0,e_0,a_0,g_0
e_1,0.18,0.4,0.69,0.83,0.68,0.78,0.2,0.15,0.2,0.14,0.11,0.13,0.09,0.29,0.14,0.13
f_1,0.64,0.17,0.62,0.63,0.71,0.53,0.13,0.15,0.23,0.12,0.12,0.2,0.07,0.1,0.12,0.1
d_1,0.78,0.74,0.15,0.69,0.69,0.58,0.18,0.32,0.11,0.11,0.11,0.12,0.08,0.14,0.11,0.06
c_1,0.49,0.71,0.78,0.15,0.72,0.65,0.18,0.07,0.23,0.29,0.16,0.15,0.1,0.12,0.12,0.07
b_1,0.72,0.65,0.74,0.36,0.14,0.76,0.18,0.15,0.22,0.18,0.47,0.15,0.14,0.15,0.2,0.1
a_1,0.69,0.76,0.8,0.68,0.33,0.09,0.22,0.16,0.18,0.18,0.18,0.13,0.11,0.16,0.38,0.13
h_1,0.51,0.58,0.51,0.53,0.5,0.42,0.06,0.13,0.16,0.11,0.11,0.08,0.13,0.09,0.11,0.07
d_0,0.29,0.56,0.9,0.69,0.51,0.51,0.18,0.06,0.18,0.14,0.12,0.1,0.07,0.09,0.12,0.1
g_1,0.52,0.64,0.49,0.55,0.54,0.49,0.11,0.12,0.05,0.11,0.11,0.1,0.06,0.11,0.09,0.1
c_0,0.65,0.54,0.27,1.3,0.64,0.43,0.17,0.15,0.13,0.06,0.11,0.11,0.07,0.11,0.1,0.07
b_0,0.52,0.46,0.39,0.69,1.07,0.54,0.15,0.13,0.16,0.06,0.05,0.11,0.07,0.1,0.09,0.08
f_0,0.53,1.02,0.44,0.58,0.51,0.45,0.17,0.09,0.08,0.11,0.11,0.05,0.07,0.08,0.1,0.05
h_0,0.47,0.55,0.48,0.56,0.42,0.53,0.22,0.12,0.14,0.11,0.1,0.11,0.14,0.1,0.09,0.08
e_0,0.63,0.8,0.45,0.66,0.58,0.46,0.13,0.11,0.13,0.1,0.1,0.05,0.07,0.03,0.08,0.07
a_0,0.51,0.48,0.43,0.58,0.7,1.0,0.15,0.12,0.12,0.09,0.04,0.15,0.08,0.12,0.04,0.07
g_0,0.5,0.61,0.54,0.52,0.52,0.42,0.12,0.11,0.22,0.12,0.14,0.1,0.06,0.09,0.1,0.1
