,e_1,f_1,d_1,c_1,b_1,a_1,h_1,d_0,c_0,g_1,b_0,f_0,h_0,a_0,g_0,e_0
e_1,1.0,0.84,1.27,1.87,2.26,4.11,22.9,41.36,35.63,41.81,50.18,72.91,112.9,128.11,180.53,181.22
f_1,1.18,1.0,1.26,1.43,1.83,3.61,15.4,28.45,29.93,41.82,40.71,55.75,69.72,113.42,126.49,91.32
d_1,0.79,0.79,1.0,1.06,1.41,2.87,14.65,19.72,33.42,27.22,31.5,45.79,73.36,76.01,81.8,105.66
c_1,0.53,0.7,0.94,1.0,1.84,2.11,12.01,14.05,16.26,23.64,21.88,34.83,49.65,80.31,80.97,79.51
b_1,0.44,0.55,0.71,0.54,1.0,2.73,9.03,15.18,19.05,21.6,17.81,22.24,50.28,45.44,60.11,66.91
a_1,0.24,0.28,0.35,0.48,0.37,1.0,4.79,8.71,7.9,12.35,11.72,13.94,23.39,34.95,36.62,33.93
h_1,0.05,0.07,0.06,0.08,0.11,0.19,1.0,1.69,1.6,2.7,2.24,3.16,5.88,5.33,8.75,7.17
d_0,0.02,0.03,0.05,0.07,0.07,0.12,0.6,1.0,1.01,1.37,1.49,2.04,3.18,3.37,4.6,4.28
c_0,0.03,0.03,0.03,0.06,0.05,0.13,0.64,1.07,1.0,1.14,1.79,1.92,3.04,4.05,4.06,4.14
g_1,0.02,0.02,0.04,0.04,0.05,0.08,0.37,0.76,0.85,1.0,1.05,1.76,1.77,2.72,2.92,3.79
b_0,0.02,0.02,0.03,0.05,0.06,0.08,0.46,0.67,0.53,0.99,1.0,1.29,2.16,3.64,3.21,3.75
f_0,0.01,0.02,0.02,0.03,0.05,0.08,0.32,0.53,0.53,0.58,0.7,1.0,1.84,1.91,1.72,3.3
h_0,0.01,0.01,0.01,0.02,0.02,0.04,0.17,0.32,0.33,0.54,0.49,0.52,1.0,1.08,1.63,1.42
a_0,0.01,0.01,0.01,0.01,0.02,0.03,0.19,0.3,0.26,0.38,0.27,0.5,0.9,1.0,1.0,1.26
g_0,0.01,0.01,0.01,0.01,0.02,0.03,0.12,0.21,0.24,0.35,0.33,0.53,0.63,1.05,1.0,1.26
e_0,0.01,0.01,0.01,0.01,0.02,0.03,0.14,0.23,0.24,0.27,0.28,0.31,0.7,0.81,0.8,1.0
