,e_1,d_1,f_1,c_1,b_1,a_1,h_1,d_0,g_1,c_0,b_0,f_0,h_0,a_0,e_0,g_0
e_1,0.96,0.55,0.57,0.74,0.56,0.37,0.47,0.59,0.36,0.37,0.37,0.36,0.34,0.29,0.26,0.31
d_1,0.67,0.96,0.69,0.53,0.52,0.35,0.42,0.38,0.35,0.57,0.41,0.37,0.36,0.29,0.28,0.3
f_1,0.88,0.58,0.95,0.6,0.54,0.41,0.37,0.42,0.34,0.35,0.35,0.27,0.34,0.29,0.2,0.3
c_1,0.61,0.64,0.66,0.96,0.85,0.45,0.44,0.37,0.37,0.29,0.26,0.35,0.33,0.27,0.26,0.31
b_1,0.68,0.69,0.7,0.55,0.95,0.77,0.47,0.39,0.4,0.43,0.31,0.33,0.36,0.22,0.27,0.33
a_1,0.79,0.83,0.84,0.72,0.49,0.94,0.53,0.49,0.48,0.46,0.45,0.39,0.43,0.29,0.29,0.38
h_1,0.94,0.97,1.2,0.83,0.76,0.52,0.81,0.52,0.61,0.54,0.5,0.45,0.42,0.43,0.36,0.49
d_0,0.9,0.83,0.93,1.41,0.96,0.62,0.73,0.75,0.59,0.44,0.54,0.46,0.53,0.45,0.39,0.47
g_1,0.92,1.26,0.89,0.91,0.8,0.61,0.61,0.53,0.81,0.6,0.52,0.73,0.46,0.41,0.45,0.46
c_0,1.04,0.96,1.1,0.92,0.71,0.61,0.7,0.78,0.57,0.77,0.87,0.56,0.62,0.53,0.43,0.48
b_0,1.12,0.98,1.1,1.17,0.79,0.54,0.78,0.71,0.68,0.58,0.74,0.63,0.64,0.76,0.43,0.48
f_0,1.01,1.12,0.95,1.03,0.97,0.71,0.77,0.78,0.6,0.69,0.59,0.76,0.56,0.55,0.79,0.53
h_0,1.14,1.22,1.22,1.13,0.87,0.67,0.7,0.68,0.76,0.65,0.56,0.61,0.55,0.46,0.42,0.64
a_0,1.22,1.24,1.12,1.23,1.07,0.55,0.79,0.78,0.78,0.62,0.53,0.58,0.7,0.66,0.48,0.52
e_0,1.09,1.28,1.28,1.05,0.99,0.7,0.92,0.84,0.69,0.7,0.78,0.54,0.73,0.57,0.69,0.6
g_0,1.1,1.51,1.11,1.08,0.91,0.66,0.78,0.72,0.59,0.83,0.72,0.79,0.58,0.56,0.54,0.55
