,e_1,f_1,d_1,c_1,b_1,a_1,h_1,g_1,d_0,c_0,b_0,f_0,h_0,a_0,g_0,e_0
e_1,1.0,0.81,0.89,1.1,0.85,0.64,0.51,0.45,0.59,0.4,0.39,0.44,0.34,0.33,0.33,0.33
f_1,1.24,1.0,0.88,0.94,0.76,0.69,0.39,0.47,0.44,0.36,0.38,0.35,0.29,0.31,0.27,0.25
d_1,1.12,1.14,1.0,0.93,0.81,0.72,0.55,0.39,0.49,0.6,0.45,0.43,0.37,0.33,0.28,0.31
c_1,0.91,1.06,1.04,1.0,1.34,0.72,0.51,0.49,0.34,0.38,0.32,0.38,0.35,0.32,0.3,0.3
b_1,1.17,1.3,1.2,0.75,1.0,1.15,0.55,0.52,0.43,0.56,0.47,0.45,0.42,0.36,0.38,0.32
a_1,1.53,1.45,1.44,1.4,0.89,1.0,0.82,0.62,0.69,0.64,0.63,0.58,0.55,0.49,0.45,0.45
h_1,2.01,2.55,1.87,1.96,1.8,1.25,1.0,1.05,0.88,0.74,0.79,0.73,0.74,0.69,0.72,0.56
g_1,2.21,2.17,2.67,2.07,1.82,1.63,0.97,1.0,0.85,0.84,0.82,1.04,0.67,0.68,0.69,0.69
d_0,1.72,2.24,2.04,2.86,2.35,1.47,1.12,1.12,1.0,0.81,0.89,0.86,0.97,0.72,0.82,0.71
c_0,2.47,2.71,1.7,2.5,1.79,1.65,1.23,1.17,1.19,1.0,1.36,0.9,0.9,0.8,0.78,0.8
b_0,2.57,2.64,2.21,3.28,2.13,1.42,1.27,1.21,1.15,0.75,1.0,0.98,0.83,1.16,0.76,0.79
f_0,2.39,2.87,2.44,2.46,2.15,1.63,1.35,0.97,1.11,1.11,0.98,1.0,0.99,0.91,0.73,1.1
h_0,3.02,3.42,2.72,2.7,2.41,1.76,1.34,1.48,1.05,1.12,1.18,1.02,1.0,0.86,1.09,0.78
a_0,2.9,3.22,2.99,3.27,2.71,2.14,1.52,1.39,1.36,1.19,0.94,1.26,1.19,1.0,0.94,0.81
g_0,3.18,3.7,3.6,3.23,2.64,2.12,1.34,1.45,1.24,1.23,1.29,1.42,0.92,1.09,1.0,0.92
e_0,3.16,4.11,3.16,3.24,3.04,2.25,1.83,1.4,1.35,1.3,1.31,0.95,1.27,1.15,0.99,1.0
