,e_1,f_1,d_1,c_1,b_1,a_1,h_1,g_1,c_0,d_0,b_0,f_0,a_0,h_0,e_0,g_0
e_1,1.0,0.85,0.97,1.19,0.98,0.9,1.11,1.11,0.95,1.33,0.99,1.01,1.11,1.02,1.09,1.03
f_1,1.18,1.0,0.9,1.1,0.86,0.96,0.89,1.09,0.91,1.07,0.97,0.9,1.02,0.88,0.87,0.98
d_1,1.08,1.1,1.0,0.87,1.0,0.92,0.99,0.86,1.26,1.05,1.05,0.99,1.03,0.96,0.92,0.87
c_1,0.84,0.91,1.12,1.0,1.41,0.96,0.98,0.96,0.89,0.71,0.8,1.04,0.78,1.06,1.08,1.05
b_1,1.0,1.15,0.98,0.75,1.0,1.42,1.06,1.0,1.1,0.91,1.18,1.02,0.94,0.99,1.02,0.99
a_1,1.06,1.03,1.09,1.05,0.71,1.0,1.04,1.08,0.97,1.06,1.16,0.98,1.1,1.18,0.91,1.11
h_1,0.92,1.14,0.98,1.0,0.97,0.92,1.0,1.05,0.94,0.95,0.98,0.95,0.97,1.02,0.9,1.18
g_1,0.85,0.94,1.18,1.05,1.03,0.95,0.95,1.0,0.96,0.92,1.02,1.22,0.97,0.88,1.12,1.09
c_0,1.09,1.09,0.83,1.09,0.91,0.99,1.04,1.09,1.0,1.16,1.26,1.06,1.22,1.07,1.06,0.99
d_0,0.77,0.93,0.92,1.39,1.14,0.97,1.06,1.11,0.82,1.0,0.93,1.04,0.86,0.94,1.02,1.09
b_0,1.02,1.04,0.93,1.26,0.87,0.85,0.93,0.98,0.83,1.06,1.0,1.03,1.43,1.17,1.05,1.05
f_0,0.95,1.14,1.06,0.99,1.02,1.0,1.01,0.82,0.97,0.96,0.93,1.0,0.9,1.1,1.36,0.83
a_0,0.89,0.91,0.94,1.32,1.02,0.91,1.04,1.06,0.84,1.09,0.72,1.08,1.0,1.08,1.01,1.18
h_0,0.96,1.08,1.03,0.98,1.01,0.82,0.99,1.16,0.93,1.01,0.93,0.9,0.92,1.0,0.93,1.07
e_0,0.96,1.12,1.05,0.96,0.98,1.05,1.16,0.93,1.0,0.96,1.06,0.77,0.99,1.06,1.0,0.93
g_0,0.95,1.04,1.15,0.94,1.02,0.87,0.85,0.92,1.0,0.91,0.95,1.17,0.86,0.91,1.11,1.01
