,e_1,f_1,c_1,d_1,b_1,a_1,h_1,d_0,c_0,g_1,b_0,f_0,h_0,a_0,e_0,g_0
e_1,1.0,0.79,1.47,1.15,2.13,3.28,21.74,38.54,34.03,37.34,38.66,55.51,98.56,82.97,106.52,133.75
f_1,1.26,1.0,1.08,1.13,1.52,2.69,17.96,26.78,28.85,32.02,33.37,45.99,63.82,87.78,97.53,115.07
c_1,0.68,0.92,1.0,1.24,2.23,2.28,19.07,15.77,20.1,28.42,24.39,37.36,71.6,76.18,91.67,104.8
d_1,0.88,0.88,0.81,1.0,1.55,2.26,18.06,25.84,32.35,23.99,33.92,45.93,65.87,80.82,85.78,79.1
b_1,0.47,0.66,0.45,0.64,1.0,2.8,11.96,14.61,19.35,18.15,14.85,22.7,40.89,44.57,58.71,68.89
a_1,0.3,0.37,0.43,0.44,0.36,1.0,6.93,9.53,10.5,11.55,13.74,15.17,30.78,25.6,30.95,42.57
h_1,0.04,0.06,0.05,0.06,0.08,0.14,1.0,1.21,1.51,1.73,1.48,2.13,3.49,3.8,5.04,6.34
d_0,0.03,0.04,0.06,0.04,0.07,0.11,0.83,1.0,0.93,1.16,1.35,1.83,2.95,3.15,3.78,4.85
c_0,0.03,0.03,0.04,0.03,0.05,0.1,0.64,1.01,1.0,1.1,1.64,1.48,2.49,2.7,3.23,4.01
g_1,0.03,0.03,0.03,0.04,0.06,0.09,0.56,0.82,0.92,1.0,1.1,1.91,1.96,2.68,3.28,3.7
b_0,0.03,0.03,0.04,0.03,0.06,0.07,0.64,0.77,0.61,0.94,1.0,1.34,2.29,3.1,2.63,3.75
f_0,0.02,0.02,0.03,0.02,0.04,0.07,0.46,0.54,0.65,0.53,0.74,1.0,1.71,1.65,2.67,2.09
h_0,0.01,0.02,0.01,0.01,0.02,0.03,0.29,0.34,0.4,0.5,0.42,0.58,1.0,1.02,1.28,1.64
a_0,0.01,0.01,0.01,0.01,0.02,0.04,0.26,0.33,0.38,0.36,0.31,0.62,0.98,1.0,1.03,1.46
e_0,0.01,0.01,0.01,0.01,0.02,0.03,0.21,0.26,0.31,0.32,0.37,0.36,0.78,1.06,1.0,0.98
g_0,0.01,0.01,0.01,0.01,0.01,0.02,0.16,0.21,0.25,0.26,0.26,0.47,0.6,0.74,0.98,1.0
