,e_1,f_1,c_1,d_1,b_1,a_1,h_1,g_1,d_0,c_0,f_0,b_0,a_0,h_0,e_0,g_0
e_1,0.17,0.23,0.39,0.38,0.4,0.36,0.1,0.11,0.08,0.08,0.09,0.08,0.07,0.05,0.12,0.06
f_1,0.35,0.16,0.36,0.33,0.36,0.3,0.08,0.11,0.07,0.07,0.09,0.07,0.07,0.04,0.06,0.05
c_1,0.3,0.36,0.15,0.47,0.32,0.3,0.11,0.1,0.04,0.09,0.07,0.08,0.08,0.05,0.07,0.05
d_1,0.41,0.4,0.37,0.14,0.35,0.3,0.09,0.06,0.11,0.06,0.07,0.07,0.07,0.05,0.05,0.03
b_1,0.34,0.37,0.22,0.41,0.14,0.32,0.11,0.11,0.08,0.1,0.07,0.11,0.08,0.06,0.07,0.05
a_1,0.37,0.43,0.33,0.38,0.19,0.09,0.1,0.1,0.09,0.08,0.07,0.11,0.09,0.07,0.07,0.06
h_1,0.31,0.34,0.32,0.31,0.33,0.24,0.06,0.1,0.07,0.06,0.06,0.07,0.06,0.06,0.06,0.04
g_1,0.32,0.33,0.35,0.3,0.36,0.31,0.08,0.05,0.07,0.05,0.07,0.06,0.06,0.04,0.06,0.05
d_0,0.21,0.31,0.33,0.48,0.31,0.31,0.11,0.12,0.05,0.08,0.06,0.09,0.08,0.05,0.08,0.06
c_0,0.36,0.37,0.44,0.2,0.33,0.32,0.11,0.08,0.1,0.04,0.06,0.06,0.06,0.05,0.05,0.05
f_0,0.3,0.41,0.33,0.34,0.31,0.27,0.09,0.06,0.07,0.06,0.04,0.07,0.06,0.05,0.07,0.03
b_0,0.35,0.36,0.38,0.26,0.4,0.28,0.09,0.08,0.07,0.03,0.06,0.04,0.06,0.04,0.05,0.04
a_0,0.33,0.32,0.37,0.28,0.39,0.34,0.1,0.08,0.07,0.05,0.05,0.04,0.03,0.04,0.06,0.04
h_0,0.3,0.3,0.34,0.29,0.32,0.3,0.11,0.09,0.08,0.06,0.07,0.07,0.06,0.06,0.06,0.04
e_0,0.4,0.45,0.31,0.27,0.28,0.25,0.1,0.08,0.08,0.06,0.03,0.07,0.05,0.05,0.03,0.04
g_0,0.3,0.31,0.36,0.31,0.3,0.28,0.08,0.1,0.08,0.07,0.07,0.07,0.07,0.04,0.07,0.05
