,f_1,e_1,c_1,d_1,b_1,a_1,h_1,g_1,d_0,c_0,b_0,f_0,h_0,a_0,e_0,g_0
f_1,1.0,1.23,0.95,0.9,0.84,0.63,0.42,0.43,0.43,0.37,0.38,0.37,0.3,0.32,0.24,0.32
e_1,0.82,1.0,1.22,0.9,0.93,0.63,0.52,0.57,0.59,0.43,0.41,0.44,0.35,0.33,0.32,0.35
c_1,1.04,0.82,1.0,1.18,1.19,0.78,0.49,0.45,0.32,0.31,0.36,0.35,0.37,0.34,0.35,0.31
d_1,1.1,1.11,0.85,1.0,0.99,0.66,0.51,0.37,0.41,0.57,0.48,0.41,0.39,0.37,0.38,0.27
b_1,1.2,1.07,0.84,1.0,1.0,1.26,0.59,0.5,0.52,0.57,0.41,0.44,0.39,0.34,0.38,0.39
a_1,1.59,1.58,1.27,1.51,0.8,1.0,0.82,0.6,0.51,0.53,0.61,0.48,0.49,0.4,0.39,0.37
h_1,2.39,1.94,2.01,1.98,1.66,1.2,1.0,1.02,0.82,0.79,0.82,0.68,0.8,0.65,0.6,0.88
g_1,2.36,1.77,2.24,2.77,2.0,1.65,0.99,1.0,0.93,1.0,0.91,1.13,0.7,0.97,0.8,0.67
d_0,2.32,1.66,3.31,2.29,1.99,1.78,1.18,1.03,1.0,0.82,0.99,0.83,0.9,0.83,0.74,0.87
c_0,2.69,2.33,2.75,1.74,1.85,1.83,1.32,0.97,1.2,1.0,1.29,0.89,0.95,0.95,0.91,0.75
b_0,2.63,2.46,2.91,2.05,2.41,1.65,1.22,1.07,1.0,0.74,1.0,1.01,0.97,1.19,0.87,0.93
f_0,2.82,2.15,2.95,2.46,2.23,2.05,1.43,0.92,1.15,1.13,1.0,1.0,0.98,0.8,1.24,0.74
h_0,3.52,2.92,2.64,2.67,2.61,2.04,1.26,1.46,1.09,1.05,0.98,1.05,1.0,0.87,0.71,1.04
a_0,3.28,3.11,3.03,2.57,2.73,2.33,1.52,1.04,1.11,1.05,0.83,1.24,1.07,1.0,0.75,0.92
e_0,4.06,2.98,3.0,2.71,2.65,2.5,1.63,1.27,1.37,1.13,1.16,0.87,1.45,1.29,1.0,0.94
g_0,2.95,2.92,3.26,3.65,2.6,2.81,1.2,1.46,1.16,1.26,1.07,1.42,0.96,1.08,1.0,1.0
