,f_1,e_1,d_1,c_1,b_1,a_1,h_1,g_1,d_0,c_0,b_0,f_0,h_0,a_0,g_0,e_0
f_1,0.66,1.09,0.93,0.88,0.84,0.73,0.33,0.41,0.34,0.31,0.33,0.36,0.23,0.28,0.27,0.25
e_1,0.68,0.65,0.98,1.02,0.94,0.9,0.43,0.45,0.44,0.36,0.38,0.41,0.29,0.32,0.32,0.35
d_1,1.0,1.04,0.64,1.03,0.94,0.78,0.4,0.32,0.42,0.36,0.34,0.32,0.26,0.34,0.21,0.32
c_1,0.99,0.85,1.03,0.63,1.13,0.98,0.45,0.44,0.26,0.39,0.32,0.36,0.31,0.35,0.28,0.32
b_1,1.15,1.02,1.1,0.72,0.61,1.11,0.53,0.47,0.4,0.52,0.5,0.38,0.33,0.34,0.33,0.37
a_1,1.4,1.18,1.35,1.03,0.73,0.57,0.64,0.54,0.45,0.54,0.56,0.47,0.4,0.53,0.35,0.45
h_1,1.81,1.53,1.51,1.6,1.49,1.21,0.54,0.72,0.62,0.52,0.54,0.51,0.49,0.47,0.5,0.51
g_1,1.67,1.72,1.71,1.73,1.62,1.41,0.64,0.52,0.69,0.6,0.64,0.64,0.43,0.56,0.56,0.53
d_0,1.75,1.23,1.91,2.16,1.65,1.54,0.77,0.82,0.55,0.59,0.7,0.62,0.59,0.65,0.53,0.61
c_0,2.09,1.81,1.27,2.19,1.7,1.4,0.83,0.77,0.82,0.53,0.76,0.59,0.57,0.64,0.48,0.59
b_0,2.04,1.68,1.53,2.22,1.97,1.37,0.82,0.8,0.63,0.43,0.53,0.59,0.54,0.7,0.45,0.56
f_0,2.23,1.73,1.86,1.91,1.74,1.64,0.93,0.64,0.7,0.66,0.73,0.52,0.55,0.68,0.39,0.76
h_0,2.2,2.06,1.98,1.92,1.7,1.56,1.09,0.97,0.74,0.65,0.71,0.64,0.66,0.63,0.55,0.55
a_0,2.38,2.24,1.86,2.06,2.34,2.05,0.91,0.86,0.8,0.61,0.5,0.7,0.58,0.52,0.58,0.58
g_0,2.24,2.06,2.31,2.25,1.95,1.91,0.78,1.07,0.88,0.73,0.8,0.79,0.54,0.76,0.63,0.72
e_0,3.17,2.27,2.09,2.15,2.22,1.86,0.89,0.91,0.78,0.72,0.74,0.45,0.7,0.66,0.53,0.5
