,f_1,d_1,e_1,c_1,b_1,a_1,h_1,g_1,c_0,d_0,b_0,f_0,h_0,a_0,g_0,e_0
f_1,1.06,1.94,2.09,2.09,1.96,1.59,0.61,0.67,0.58,0.6,0.56,0.72,0.41,0.52,0.46,0.53
d_1,2.34,1.06,2.21,1.98,1.99,1.65,0.81,0.57,0.68,1.08,0.55,0.59,0.45,0.62,0.37,0.5
e_1,1.52,2.2,1.06,2.34,2.21,1.72,0.88,0.92,0.71,0.78,0.65,0.69,0.5,0.53,0.54,0.7
c_1,2.19,2.8,2.03,1.06,2.52,2.26,0.9,0.85,0.85,0.42,0.53,0.64,0.5,0.54,0.47,0.6
b_1,2.72,2.47,2.59,1.54,1.06,2.84,1.0,0.92,0.83,0.74,1.18,0.69,0.61,0.69,0.58,0.67
a_1,3.46,3.2,3.4,2.94,1.69,1.07,1.25,1.25,0.9,0.91,1.26,0.83,0.68,1.42,0.7,0.65
h_1,5.93,4.83,5.31,5.27,4.84,4.35,1.31,1.96,1.6,1.61,1.55,1.45,1.43,1.27,1.16,1.26
g_1,7.93,6.86,6.01,6.57,6.08,5.09,2.06,1.34,1.74,1.58,1.65,1.78,1.28,1.59,1.52,1.67
c_0,6.94,4.41,6.59,10.13,6.78,6.45,2.61,2.46,1.49,2.43,2.31,2.07,1.48,1.82,1.3,1.78
d_0,6.92,8.32,4.33,9.03,7.42,6.54,3.07,3.16,2.01,1.54,1.94,2.03,1.58,1.71,1.61,2.02
b_0,8.84,6.61,7.28,10.7,10.37,5.96,2.88,2.49,1.33,2.18,1.5,2.05,1.78,2.55,1.76,1.92
f_0,10.37,7.47,7.17,8.5,7.43,7.53,3.09,2.11,2.18,2.28,2.03,1.5,1.88,1.66,1.26,2.17
h_0,9.38,9.36,8.19,9.98,9.16,7.16,4.58,3.14,2.68,2.74,2.45,2.46,2.64,1.94,2.28,2.04
a_0,11.05,9.24,10.05,10.74,11.5,9.99,3.76,3.39,2.66,3.16,1.53,2.79,2.32,1.57,2.0,2.72
g_0,11.49,9.29,9.8,10.22,10.64,8.55,3.39,4.67,3.07,3.01,2.6,3.1,1.76,2.52,2.65,2.54
e_0,13.48,10.67,14.46,10.09,9.01,9.93,4.27,3.32,2.7,2.73,3.03,1.7,2.38,2.31,1.98,1.56
