,f_1,d_1,e_1,c_1,b_1,a_1,h_1,d_0,g_1,c_0,b_0,f_0,h_0,a_0,e_0,g_0
f_1,5.87,1.4,2.85,1.47,1.41,0.89,5.72,6.86,5.04,6.2,7.77,3.13,9.19,6.14,4.2,9.52
d_1,1.78,6.29,1.35,1.17,1.47,1.55,5.71,3.51,6.06,13.59,7.71,7.63,11.86,9.68,8.94,10.76
e_1,1.59,1.4,6.23,1.89,1.34,1.56,5.31,13.06,5.14,6.62,8.11,8.36,11.0,7.06,4.86,10.26
c_1,1.49,1.5,1.31,6.77,2.67,1.62,4.39,7.2,5.27,2.81,6.11,6.86,10.69,7.45,6.24,10.76
b_1,1.26,1.8,1.42,1.35,7.52,3.05,5.56,6.09,4.91,6.24,2.96,6.94,11.73,4.92,6.96,11.87
a_1,1.76,1.66,1.48,1.39,1.71,10.22,5.34,6.94,5.6,7.02,6.45,7.71,11.46,4.26,9.88,9.59
h_1,2.4,1.76,1.82,2.28,1.48,1.79,16.8,7.51,9.56,7.91,9.56,9.05,8.29,8.25,9.4,17.77
d_0,1.81,1.17,1.53,3.93,1.79,1.73,7.05,15.48,5.85,6.02,11.02,10.38,11.84,9.72,9.98,12.32
g_1,1.74,2.82,1.49,2.06,1.71,1.5,6.96,7.52,20.13,8.27,9.36,13.98,13.62,10.87,11.02,10.26
c_0,2.05,1.68,2.07,1.31,1.31,2.05,7.23,9.78,6.99,17.21,20.47,10.89,14.15,10.01,10.58,15.4
b_0,1.95,1.91,1.84,2.28,1.02,1.59,7.72,9.38,7.82,8.08,19.04,9.49,17.03,20.87,12.97,15.02
f_0,1.36,1.97,1.38,2.16,2.08,2.18,6.63,9.35,7.23,10.38,9.0,20.42,12.85,9.99,21.89,14.06
h_0,2.9,1.84,1.71,1.94,1.58,1.53,5.04,8.84,9.68,7.55,7.94,9.07,8.66,9.02,10.14,17.08
a_0,1.71,1.99,1.75,1.98,1.96,1.17,9.01,9.91,6.28,10.71,9.73,11.97,17.9,25.6,10.68,17.65
e_0,2.29,1.84,1.0,2.28,1.62,2.04,8.25,8.87,8.77,9.82,10.47,9.13,17.59,13.21,27.98,12.94
g_0,1.7,2.67,1.44,1.99,1.74,2.12,5.67,7.76,4.29,8.98,9.53,14.61,10.9,10.4,12.34,9.13
