,f_1,d_1,e_1,c_1,b_1,a_1,h_1,g_1,c_0,d_0,b_0,f_0,h_0,a_0,g_0,e_0
f_1,0.44,1.89,1.73,2.09,2.13,1.67,0.42,0.54,0.36,0.39,0.41,0.81,0.24,0.4,0.31,0.5
d_1,2.23,0.43,2.14,2.13,1.99,1.72,0.57,0.37,0.39,1.39,0.33,0.38,0.27,0.46,0.21,0.35
e_1,1.19,2.23,0.43,2.24,2.4,1.76,0.64,0.76,0.49,0.46,0.45,0.48,0.29,0.4,0.37,0.76
c_1,1.98,2.71,1.9,0.4,1.96,2.61,0.62,0.67,0.92,0.24,0.38,0.44,0.31,0.42,0.28,0.44
b_1,2.44,2.23,2.54,1.18,0.39,2.54,0.68,0.69,0.59,0.51,1.43,0.46,0.4,0.54,0.37,0.49
a_1,2.87,2.54,2.87,2.72,1.36,0.34,0.79,0.85,0.54,0.55,0.82,0.57,0.35,1.51,0.42,0.43
h_1,3.39,2.81,3.29,3.45,3.13,3.05,0.34,0.88,0.66,0.76,0.68,0.59,0.77,0.65,0.43,0.63
g_1,5.14,3.5,3.44,4.15,3.89,3.35,0.85,0.31,0.67,0.61,0.63,0.64,0.44,0.7,0.78,0.71
c_0,3.67,1.95,3.64,8.12,4.69,4.47,1.13,1.1,0.39,1.04,0.75,0.87,0.51,0.82,0.48,0.76
d_0,3.74,8.02,2.08,4.17,4.25,4.3,1.34,1.51,0.84,0.39,0.76,0.78,0.6,0.78,0.56,0.97
b_0,4.8,3.12,3.98,6.47,9.94,3.7,1.16,0.96,0.41,0.77,0.35,0.74,0.59,0.86,0.64,0.74
f_0,7.77,3.41,3.63,4.43,4.39,5.3,1.18,0.77,0.77,0.81,0.78,0.35,0.61,0.61,0.39,0.72
h_0,4.34,4.56,3.77,5.59,5.23,4.08,2.23,1.09,0.9,0.93,0.78,0.93,1.28,0.75,0.71,0.83
a_0,5.61,4.21,5.12,5.84,6.24,7.48,1.35,1.13,0.88,1.16,0.45,0.96,0.64,0.32,0.63,0.88
g_0,6.16,3.83,5.07,5.37,5.25,5.03,1.08,2.22,1.02,1.02,0.94,0.9,0.5,0.88,1.15,0.81
e_0,6.92,4.65,11.04,4.63,4.37,6.57,1.57,1.24,0.89,0.85,1.03,0.51,0.7,0.87,0.65,0.31
