,f_1,c_1,e_1,b_1,d_1,a_1,h_1,d_0,c_0,g_1,b_0,f_0,a_0,h_0,e_0,g_0
f_1,1.0,1.03,1.15,0.93,1.0,0.92,0.9,0.99,0.96,1.03,0.97,0.82,0.95,0.88,0.81,1.04
c_1,0.98,1.0,0.86,1.31,1.15,0.94,0.9,0.75,0.84,1.06,0.76,0.93,0.89,1.02,1.0,1.0
e_1,0.88,1.14,1.0,1.03,0.88,0.91,1.09,1.36,0.97,1.03,1.05,1.13,0.97,1.07,0.98,1.13
b_1,1.07,0.79,0.95,1.0,1.05,1.4,1.09,0.87,1.08,1.08,1.03,1.01,0.92,0.99,1.05,1.02
d_1,0.98,0.89,1.1,0.94,1.0,0.99,1.0,1.05,1.25,0.8,1.17,1.1,1.16,1.01,1.01,0.88
a_1,1.07,1.02,1.12,0.73,1.02,1.0,1.13,1.14,1.0,1.12,1.12,1.05,1.03,1.05,1.08,1.09
h_1,1.08,1.11,0.92,0.95,0.98,0.89,1.0,0.97,0.96,1.22,0.97,0.97,0.92,1.12,0.92,1.07
d_0,1.04,1.31,0.74,1.14,0.96,0.84,1.02,1.0,0.85,1.01,0.84,0.98,0.91,1.03,1.15,1.0
c_0,1.05,1.17,1.04,0.93,0.81,0.96,1.11,1.24,1.0,0.93,1.32,1.05,1.34,1.12,1.13,0.95
g_1,0.95,0.99,0.97,0.93,1.22,0.84,0.79,0.96,1.06,1.0,0.98,1.17,0.98,0.9,1.05,1.0
b_0,1.04,1.27,0.94,1.0,0.91,0.88,1.07,1.17,0.79,0.98,1.0,1.0,1.4,1.02,1.02,0.97
f_0,1.16,1.09,0.93,0.97,0.88,0.96,1.02,1.01,0.97,0.82,1.03,1.0,1.05,1.09,1.35,0.81
a_0,1.05,1.14,0.99,1.17,0.88,0.97,1.1,1.1,0.79,1.08,0.76,1.0,1.0,1.09,1.02,0.94
h_0,1.1,1.01,0.91,1.03,1.03,0.92,0.92,0.94,0.87,1.04,0.96,0.91,0.97,1.0,0.96,1.04
e_0,1.23,1.01,1.1,0.93,0.98,0.93,1.1,0.91,0.94,0.93,1.03,0.71,0.99,1.06,1.0,0.89
g_0,0.95,0.99,0.87,0.98,1.14,0.97,0.95,0.98,1.01,1.02,1.02,1.19,1.05,0.94,1.14,1.0
