,f_1,e_1,d_1,c_1,b_1,a_1,h_1,g_1,d_0,c_0,f_0,b_0,h_0,a_0,e_0,g_0
f_1,2.23,0.41,0.23,0.2,0.16,0.17,0.41,0.35,0.4,0.44,0.11,0.5,0.5,0.35,0.29,0.41
e_1,0.24,2.25,0.21,0.22,0.23,0.12,0.33,0.41,0.95,0.52,0.46,0.45,0.6,0.37,0.12,0.48
d_1,0.26,0.21,2.28,0.2,0.17,0.15,0.42,0.41,0.13,0.91,0.56,0.44,0.63,0.38,0.45,0.49
c_1,0.22,0.23,0.22,2.44,0.4,0.13,0.37,0.39,0.44,0.04,0.56,0.31,0.48,0.38,0.38,0.44
b_1,0.24,0.25,0.23,0.21,2.61,0.33,0.47,0.36,0.63,0.33,0.36,0.09,0.59,0.22,0.35,0.37
a_1,0.3,0.19,0.25,0.2,0.2,3.13,0.5,0.34,0.31,0.46,0.4,0.43,0.73,0.1,0.42,0.49
h_1,0.59,0.33,0.42,0.39,0.3,0.33,2.82,0.82,0.87,0.61,0.71,0.68,0.35,0.61,0.71,1.04
g_1,0.42,0.36,0.53,0.33,0.29,0.34,0.67,2.98,0.63,0.7,1.01,0.7,0.85,0.74,0.71,0.27
d_0,0.36,0.43,0.1,0.79,0.35,0.33,0.76,0.68,2.24,0.64,0.87,0.73,0.79,0.76,0.53,0.85
c_0,0.49,0.41,0.52,0.15,0.32,0.18,0.83,0.64,0.67,2.35,0.8,1.75,0.95,1.03,0.78,1.08
f_0,0.16,0.37,0.58,0.48,0.36,0.24,0.9,0.67,0.85,1.06,2.55,0.68,1.17,0.52,1.42,1.33
b_0,0.43,0.34,0.52,0.48,0.09,0.23,0.69,0.65,0.9,0.81,0.91,2.61,1.18,1.54,0.76,1.19
h_0,0.62,0.37,0.42,0.39,0.27,0.29,0.29,0.95,0.86,0.76,0.62,0.88,0.42,0.6,0.59,1.21
a_0,0.46,0.37,0.54,0.43,0.41,,0.58,0.51,0.74,0.7,0.84,0.68,1.03,2.83,0.89,1.24
e_0,0.49,0.15,0.39,0.45,0.38,0.38,0.88,0.65,1.13,0.94,0.9,0.88,1.24,0.67,2.78,0.65
g_0,0.29,0.4,0.67,0.39,0.33,0.27,0.74,0.37,0.55,0.86,1.06,0.95,0.73,0.58,0.77,
