,e_1,f_1,d_1,c_1,b_1,a_1,h_1,d_0,c_0,g_1,b_0,f_0,h_0,a_0,e_0,g_0
e_1,5.68,2.5,1.85,2.77,2.22,2.04,7.31,17.64,9.16,8.02,11.52,10.48,18.06,12.45,7.8,14.38
f_1,3.68,6.0,1.98,2.14,1.85,1.95,8.61,11.06,9.9,7.11,10.41,6.23,13.73,10.62,7.53,15.88
d_1,2.11,2.32,6.7,1.46,2.18,2.18,8.91,5.78,19.07,8.58,12.43,11.61,16.96,12.63,11.71,17.03
c_1,1.81,2.02,2.01,7.17,4.35,2.3,7.12,10.32,4.64,6.57,8.19,9.64,15.55,9.09,10.67,15.33
b_1,1.88,2.09,2.11,2.29,8.1,4.66,7.52,9.65,9.75,9.17,7.0,11.17,15.07,8.25,12.78,13.75
a_1,2.25,2.77,2.13,2.34,2.14,10.45,8.73,11.24,9.33,5.87,10.16,9.07,15.86,6.97,12.94,17.76
h_1,2.12,3.34,2.81,2.22,2.18,2.0,17.49,9.93,12.3,12.06,11.38,11.98,13.8,14.19,11.4,22.84
d_0,2.39,2.69,1.62,4.39,2.51,2.33,7.68,16.95,7.86,8.16,9.95,10.63,18.3,11.27,11.43,16.21
c_0,2.53,3.0,2.74,1.59,2.17,2.5,10.22,9.96,18.42,9.39,20.91,11.73,18.14,15.66,13.0,19.5
g_1,1.9,2.12,4.31,2.27,1.9,2.61,9.04,9.14,11.36,22.32,10.31,17.51,17.1,10.29,16.8,13.96
b_0,2.62,2.51,2.78,2.6,1.61,2.03,9.72,11.16,12.51,9.55,19.54,12.33,19.54,25.19,13.26,19.06
f_0,1.81,1.93,3.03,2.9,2.26,2.61,9.32,11.58,12.77,10.39,13.28,22.22,21.11,14.84,28.38,19.88
h_0,2.41,3.17,2.48,2.57,2.57,2.2,7.91,10.95,11.14,13.47,11.82,12.3,13.55,12.12,12.92,23.73
a_0,2.71,2.73,2.76,2.31,2.16,1.25,10.51,9.52,11.17,10.19,11.6,13.48,20.4,28.38,11.73,19.87
e_0,1.66,2.7,2.75,2.31,2.81,2.49,10.92,11.04,12.61,10.08,14.79,13.78,17.9,14.66,30.66,18.7
g_0,2.13,2.02,3.78,2.37,2.48,2.08,8.73,8.45,11.78,7.08,12.33,18.32,18.31,16.68,15.0,14.15
