,d_1,f_1,e_1,c_1,b_1,a_1,h_1,g_1,c_0,d_0,b_0,f_0,a_0,h_0,e_0,g_0
d_1,0.42,3.65,4.75,3.45,2.99,4.38,1.91,1.38,1.5,,1.42,1.86,1.96,1.25,1.47,1.05
f_1,3.65,0.42,4.61,2.75,3.4,4.46,1.25,2.43,1.75,1.72,1.65,,1.5,0.97,2.19,1.44
e_1,3.37,2.09,0.4,3.66,3.48,3.96,2.03,2.88,1.37,1.77,1.69,2.17,1.78,1.34,,1.6
c_1,4.83,4.65,3.28,0.39,4.51,3.31,2.35,1.86,,0.88,1.07,1.83,1.28,1.57,1.55,1.36
b_1,4.81,3.5,4.06,2.17,0.36,3.32,2.36,2.37,2.06,1.51,,1.55,1.25,1.41,1.08,1.46
a_1,3.08,4.46,3.56,3.46,2.28,0.31,2.31,1.71,1.71,1.4,1.87,1.76,,1.45,1.87,1.75
h_1,1.69,2.19,1.84,1.86,1.75,1.54,0.27,0.95,1.02,0.71,0.73,0.66,0.84,,0.79,0.72
g_1,2.11,1.76,1.92,1.63,1.55,2.49,0.69,0.24,0.78,0.98,0.85,0.88,0.82,0.69,0.98,
c_0,1.2,1.5,1.93,,1.58,1.63,0.74,0.99,0.28,0.93,0.79,0.56,0.81,0.53,0.74,0.62
d_0,,1.37,1.0,1.87,1.46,1.78,0.96,0.85,0.64,0.29,0.73,0.78,0.89,0.58,0.67,0.47
b_0,1.83,1.65,1.69,3.21,,1.56,0.73,0.64,0.49,0.71,0.27,0.76,0.76,0.66,,0.62
f_0,1.4,,1.51,1.55,2.04,1.46,1.09,0.67,0.82,0.61,0.7,0.25,0.69,0.58,0.82,0.46
a_0,1.37,1.76,1.55,1.85,2.49,,0.93,1.1,0.68,0.61,0.59,0.83,0.23,0.52,,0.58
h_0,1.14,1.49,1.14,1.11,1.41,1.45,,0.58,0.66,0.58,0.66,0.78,0.54,,0.47,0.46
e_0,2.16,1.53,,1.73,1.83,1.14,1.09,0.71,0.71,0.75,,0.36,,0.79,0.22,0.54
g_0,1.12,1.44,1.17,1.48,1.38,1.05,0.53,,0.62,1.01,0.69,0.53,0.71,0.42,0.57,
