,f_1,e_1,c_1,d_1,b_1,a_1,h_1,d_0,g_1,c_0,b_0,f_0,h_0,a_0,e_0,g_0
f_1,103.11,98.23,83.03,87.84,115.99,403.84,11269.32,16136.3,22111.64,25240.2,41019.45,45380.4,91973.63,112812.66,89802.17,201298.82
e_1,57.62,109.35,104.43,77.79,138.84,465.41,11077.92,23731.15,24363.49,27296.78,38707.82,53882.54,89878.31,115006.67,117645.72,216513.08
c_1,53.34,51.01,134.88,80.46,192.24,447.82,10542.73,12360.78,20284.42,15210.84,25698.63,45361.16,87135.93,112731.76,117781.47,169679.42
d_1,62.24,56.48,67.55,146.02,107.03,370.29,9511.85,12258.22,19520.3,37672.38,42285.13,42336.51,85273.68,110872.74,110662.57,162323.21
b_1,51.92,48.62,58.75,71.75,190.85,648.23,9769.08,12199.38,18708.19,21031.87,24476.54,46944.06,75430.11,83185.11,97637.73,151755.59
a_1,34.13,35.17,46.42,56.67,52.03,544.66,6524.15,8295.22,15185.22,14183.63,22240.61,29570.33,55154.08,47695.99,64432.89,90584.82
h_1,18.07,15.21,19.77,23.17,25.05,86.12,3789.71,3255.17,6395.57,6088.17,8712.56,11333.39,19502.75,26367.68,27320.29,58776.37
d_0,13.33,12.02,28.91,16.09,29.17,100.05,2572.33,4234.38,5218.55,4605.84,8749.34,9997.12,18745.86,25622.91,28239.34,45224.05
g_1,10.4,10.56,17.05,23.97,21.98,73.19,1833.34,2519.95,6776.21,5043.23,7101.04,13523.0,15372.86,19664.1,26327.51,32679.61
c_0,12.1,11.65,16.45,16.17,18.88,81.12,2103.32,3301.11,4608.66,6549.19,11744.18,9655.55,20725.02,27501.42,23204.9,39947.25
b_0,10.47,11.21,15.93,14.55,15.96,52.93,1999.07,2604.06,4396.61,4126.05,9096.71,9560.59,17486.88,33546.55,18328.52,35596.95
f_0,8.22,8.59,14.49,16.95,17.46,62.71,1676.75,2376.42,3186.39,3850.18,5781.61,10800.97,15891.12,16978.01,32388.78,29228.28
h_0,9.62,8.53,10.47,13.21,17.01,52.03,1290.26,1807.38,3717.29,3321.57,4441.17,6319.99,10296.25,15324.81,15881.78,32392.35
a_0,7.08,7.58,10.17,11.28,14.95,42.69,1386.73,1690.65,2955.95,2745.36,4018.33,6911.22,10711.93,19590.14,17178.48,21846.37
e_0,7.28,5.21,9.95,12.1,14.51,51.43,1333.76,1715.74,2447.43,2874.52,4759.86,5093.56,11944.86,13368.49,21309.24,25533.58
g_0,6.33,5.67,9.1,13.56,12.74,46.35,1000.0,1291.51,2075.37,2489.56,3991.79,6703.77,9478.36,13488.76,13155.57,18519.76
