,e_1,f_1,c_1,d_1,b_1,a_1,h_1,g_1,d_0,b_0,c_0,f_0,a_0,h_0,e_0,g_0
e_1,1.0,0.78,0.91,0.96,0.87,0.87,0.45,0.45,0.64,0.34,0.38,0.37,0.35,0.29,,0.34
f_1,1.28,1.0,1.16,0.97,0.94,0.77,0.42,0.44,0.49,0.48,0.47,,0.26,0.3,0.25,0.27
c_1,1.1,0.86,1.0,1.05,1.12,0.72,0.7,0.46,0.34,0.47,,0.51,0.34,0.35,0.3,0.35
d_1,1.04,1.03,0.95,1.0,1.19,0.89,0.49,0.41,,0.52,0.74,0.37,,0.32,0.44,0.19
b_1,1.15,1.06,0.89,0.84,1.0,1.17,0.5,0.59,0.43,,0.59,0.31,0.41,0.38,0.35,0.55
a_1,1.16,1.29,1.39,1.12,0.86,1.0,0.77,0.57,0.6,0.58,0.53,0.56,,0.45,,0.36
h_1,2.23,2.36,1.43,2.05,2.01,1.3,1.0,1.05,0.94,0.66,0.69,0.8,0.76,,0.77,0.83
g_1,2.2,2.25,2.17,2.44,1.71,1.74,0.95,1.0,0.87,1.22,0.93,1.13,,0.71,0.76,
d_0,1.57,2.04,2.94,,2.34,1.68,1.06,1.16,1.0,1.35,0.79,0.79,0.66,0.89,0.99,0.78
b_0,2.96,2.1,2.15,1.91,,1.74,1.51,0.82,0.74,1.0,0.81,1.01,1.33,0.81,0.72,0.71
c_0,2.62,2.12,,1.35,1.71,1.89,1.44,1.07,1.27,1.23,1.0,0.89,0.82,0.91,1.08,0.7
f_0,2.73,,1.95,2.73,3.22,1.8,1.25,0.89,1.27,0.99,1.12,1.0,0.85,0.99,0.91,0.74
a_0,2.85,3.83,2.92,,2.45,,1.31,,1.53,0.75,1.22,1.17,1.0,1.07,,0.84
h_0,3.47,3.37,2.89,3.17,2.64,2.21,,1.41,1.12,1.23,1.1,1.01,0.93,,0.71,0.99
e_0,,3.94,3.3,2.25,2.85,,1.3,1.31,1.01,1.4,0.92,1.1,,1.41,1.0,1.0
g_0,2.91,3.66,2.87,5.34,1.81,2.79,1.21,,1.28,1.41,1.43,1.35,1.2,1.01,1.0,
