,f_1,e_1,d_1,c_1,b_1,a_1,h_1,g_1,c_0,d_0,b_0,f_0,h_0,a_0,g_0,e_0
f_1,0.18,12.32,14.28,13.09,11.78,17.15,2.4,3.05,2.56,2.62,2.95,,1.37,1.97,2.25,2.34
e_1,6.72,0.18,14.5,13.65,9.9,12.53,3.98,4.59,2.89,2.19,2.82,4.07,1.8,3.12,2.05,
d_1,12.92,15.32,0.17,12.89,9.56,11.02,3.88,2.55,2.9,,2.44,2.24,2.03,2.29,1.19,3.05
c_1,11.05,12.6,17.35,0.15,11.9,12.76,4.38,3.29,,1.33,2.8,2.48,1.64,3.09,1.95,2.8
b_1,12.93,16.5,12.53,7.09,0.12,11.49,2.7,5.11,2.86,2.36,,2.23,2.05,3.25,3.01,1.9
a_1,16.2,20.59,10.58,14.26,8.49,0.09,4.45,,2.38,2.37,3.28,2.64,2.19,,1.25,
h_1,3.19,3.76,3.55,3.35,4.59,3.04,0.07,0.79,0.49,0.63,0.51,0.73,,0.6,0.65,0.77
g_1,3.81,3.77,3.46,2.96,3.57,,0.6,0.06,0.63,1.01,0.6,0.77,0.39,0.66,,0.69
c_0,2.09,2.53,1.33,,3.81,3.33,0.76,0.76,0.08,0.55,0.77,0.46,0.35,0.77,0.27,0.51
d_0,2.76,1.31,,2.5,2.85,2.77,0.58,0.79,0.97,0.08,0.45,0.49,0.4,0.47,0.33,0.46
b_0,3.37,2.22,2.85,3.56,,2.87,0.72,0.67,0.27,0.6,0.07,0.52,0.32,0.62,0.33,0.5
f_0,,2.76,2.24,2.32,3.05,3.01,0.86,0.53,0.51,0.49,0.65,0.07,0.3,0.48,0.23,0.6
h_0,1.6,1.7,1.39,1.6,1.5,1.31,,0.55,0.32,0.38,0.38,0.37,,0.42,0.21,0.26
a_0,3.51,2.71,4.09,2.19,2.64,,0.76,0.8,0.72,0.83,0.28,0.38,0.37,0.05,0.36,0.38
g_0,2.35,2.32,1.75,1.95,1.9,1.64,0.34,,0.34,0.27,0.29,0.49,0.14,0.41,,
e_0,3.85,,2.57,3.2,3.01,,0.77,0.64,0.54,0.54,0.57,0.24,0.34,0.38,,0.04
