,f_1,e_1,d_1,c_1,b_1,a_1,h_1,g_1,d_0,c_0,b_0,f_0,h_0,a_0,e_0,g_0
f_1,15.79,1.2,0.5,0.56,0.39,0.49,0.87,0.54,0.83,0.77,1.0,0.25,0.81,0.81,0.8,0.91
e_1,0.56,16.91,0.49,0.7,0.51,0.5,0.84,0.78,2.06,0.76,0.94,1.02,0.99,0.91,0.43,0.86
d_1,0.51,0.43,21.71,0.35,0.56,0.43,0.9,1.29,0.28,2.08,1.04,1.23,1.08,1.08,1.09,1.25
c_1,0.51,0.41,0.5,20.16,1.27,0.43,0.93,0.84,0.86,0.26,0.72,0.83,0.92,0.96,1.05,0.84
b_1,0.5,0.51,0.46,0.54,22.06,1.39,0.73,0.86,0.75,0.75,0.34,0.91,0.67,0.7,0.82,0.83
a_1,0.69,0.46,0.54,0.66,0.37,31.16,0.94,0.84,1.13,1.05,1.03,0.99,1.27,0.42,0.96,0.63
h_1,1.18,0.58,0.86,0.47,0.57,0.72,5.79,1.32,1.13,1.09,0.97,1.05,0.67,1.02,0.99,1.75
g_1,0.51,0.47,1.48,0.6,0.68,0.62,1.0,7.25,0.9,1.13,1.26,2.19,1.42,1.17,0.95,0.77
d_0,0.72,0.62,0.27,1.88,0.59,0.72,0.94,1.13,2.84,0.71,1.15,1.16,1.67,1.19,1.33,1.29
c_0,0.83,0.69,0.86,0.29,0.52,0.67,1.06,1.07,1.14,3.82,3.14,1.35,1.33,1.57,1.14,1.44
b_0,0.82,0.55,0.86,0.8,0.32,0.57,1.34,1.08,1.0,1.57,3.94,1.27,1.44,3.43,1.65,1.42
f_0,0.4,0.48,0.77,0.61,0.79,0.81,1.38,1.17,1.11,1.44,1.4,4.8,1.74,1.18,3.24,1.57
h_0,1.07,0.62,0.8,0.88,0.62,0.51,0.58,1.67,1.0,1.15,1.19,1.12,0.59,1.29,1.7,1.79
a_0,0.59,0.69,0.71,0.88,0.73,0.32,1.45,0.95,1.06,1.23,1.32,1.55,1.3,4.59,1.33,1.44
e_0,1.03,0.32,0.67,0.79,0.48,0.74,1.29,1.41,1.24,1.36,1.41,1.34,1.53,1.31,5.56,1.15
g_0,0.42,0.59,1.56,0.67,0.69,0.79,1.06,0.82,0.86,1.27,1.14,2.36,0.97,0.85,1.32,0.61
