,e_1,f_1,c_1,d_1,b_1,a_1,h_1,d_0,c_0,g_1,b_0,f_0,a_0,h_0,e_0,g_0
e_1,2.31,0.61,0.71,0.42,0.5,0.37,0.91,2.25,1.17,0.83,1.27,1.26,1.13,1.49,0.55,1.33
f_1,1.05,2.35,0.56,0.43,0.47,0.41,0.92,1.29,1.2,0.76,1.1,0.45,0.94,1.38,0.56,1.07
c_1,0.55,0.55,2.4,0.56,0.98,0.33,1.03,1.08,0.47,1.02,0.9,1.02,0.88,1.24,1.01,1.12
d_1,0.49,0.75,0.45,2.46,0.51,0.39,1.2,0.57,2.22,1.06,1.17,1.13,0.93,1.39,0.8,1.17
b_1,0.57,0.52,0.6,0.57,2.54,0.87,1.19,1.31,1.11,0.74,0.49,1.01,0.77,1.2,0.78,1.38
a_1,0.54,0.63,0.57,0.65,0.49,3.09,1.15,0.94,1.23,0.85,1.13,1.27,0.5,1.75,1.19,1.38
h_1,0.64,0.86,0.57,0.88,0.6,0.57,3.04,1.24,1.44,1.58,1.42,1.19,1.1,1.16,1.25,2.26
d_0,0.69,0.69,1.38,0.37,0.63,0.48,1.06,2.66,1.1,1.0,1.46,1.23,1.25,1.91,1.23,1.3
c_0,0.68,0.74,0.47,0.79,0.56,0.58,1.3,1.5,2.67,1.3,2.8,1.55,1.45,1.82,1.33,1.79
g_1,0.6,0.6,0.67,1.17,0.59,0.44,1.29,1.15,1.59,3.4,1.49,2.07,1.15,1.82,1.18,0.98
b_0,0.7,0.71,0.67,0.85,0.37,0.59,1.35,1.39,1.44,1.44,2.85,1.26,2.76,1.67,1.25,1.71
f_0,0.56,0.42,0.75,0.8,0.67,0.47,1.41,1.72,1.74,1.13,1.98,3.13,1.39,1.75,2.72,1.63
a_0,0.8,0.77,0.85,0.64,0.62,0.19,1.42,1.77,1.63,1.43,1.54,1.43,3.15,1.87,1.13,1.79
h_0,0.65,0.95,0.79,0.75,0.52,0.58,0.73,1.44,1.25,1.51,1.65,1.39,1.12,1.28,1.22,2.01
e_0,0.33,0.67,0.97,0.8,0.81,0.59,1.18,1.64,1.18,1.21,1.46,1.43,1.34,2.39,3.36,1.67
g_0,0.62,0.56,0.67,1.19,0.58,0.53,1.3,1.33,1.61,0.79,1.57,1.8,1.12,1.97,1.14,1.09
