,f_1,e_1,d_1,c_1,b_1,a_1,h_1,g_1,d_0,c_0,b_0,f_0,h_0,a_0,g_0,e_0
f_1,0.46,4.56,3.67,4.49,4.08,3.64,0.84,1.26,0.78,0.78,0.79,5.3,0.45,0.75,0.65,0.59
e_1,2.12,0.44,6.05,4.06,4.22,5.33,1.19,1.36,1.04,1.06,1.08,1.08,0.64,1.03,0.73,4.36
d_1,4.6,5.59,0.42,5.29,5.13,3.59,1.31,0.84,4.3,0.76,0.84,0.72,0.6,0.91,0.35,0.84
c_1,4.67,3.92,5.98,0.41,3.9,5.8,1.24,1.19,0.49,3.49,0.96,0.9,0.65,1.0,0.71,0.89
b_1,5.94,3.97,5.76,2.67,0.39,4.45,1.95,1.62,1.0,1.36,4.1,1.12,0.67,0.96,0.93,1.25
a_1,7.11,5.24,5.57,5.98,3.21,0.33,1.96,1.87,1.29,1.51,1.3,1.31,0.99,6.0,0.81,1.14
h_1,5.45,6.48,4.24,4.46,4.92,4.48,0.36,1.44,1.3,0.84,1.01,0.92,1.89,0.86,1.07,1.08
g_1,5.04,5.86,4.55,6.03,6.64,5.52,1.42,0.32,1.45,1.34,0.96,1.12,0.63,1.28,2.2,1.21
d_0,6.54,2.81,14.61,6.05,6.31,5.75,1.83,1.9,0.44,0.93,1.06,0.89,0.92,1.25,0.9,1.04
c_0,9.62,5.6,2.88,16.55,6.78,7.24,1.42,1.91,1.24,0.43,1.18,0.86,0.91,1.29,0.97,0.99
b_0,6.05,5.7,4.48,9.82,18.64,5.72,1.62,1.65,1.03,0.54,0.41,1.09,0.78,1.04,0.79,1.09
f_0,15.76,6.38,4.97,4.91,7.45,5.47,2.16,1.01,1.35,1.41,1.38,0.38,0.92,1.17,0.62,1.18
h_0,6.55,8.42,6.11,7.57,5.36,5.66,4.73,2.38,1.9,1.11,1.35,1.41,3.79,1.22,1.13,1.23
a_0,7.17,6.99,7.23,6.34,11.62,17.07,1.88,1.99,2.2,1.17,0.86,1.32,1.0,0.36,0.97,1.12
g_0,8.69,7.62,7.32,9.5,7.03,9.14,1.42,5.07,1.77,1.15,1.48,1.16,0.98,1.42,2.13,1.29
e_0,9.19,32.61,7.02,9.04,7.18,8.0,1.79,2.73,1.2,1.11,1.31,0.77,1.23,0.94,1.1,0.34
