,f_1,d_1,e_1,c_1,b_1,a_1,h_1,g_1,c_0,d_0,b_0,f_0,h_0,a_0,g_0,e_0
f_1,1.0,0.92,1.21,1.03,0.93,0.76,0.59,0.56,0.62,0.65,0.59,0.56,0.55,0.53,0.54,0.53
d_1,1.09,1.0,0.98,0.88,0.95,0.81,0.76,0.57,0.84,0.74,0.63,0.67,0.58,0.64,0.54,0.56
e_1,0.83,1.02,1.0,1.09,0.97,0.79,0.74,0.81,0.7,0.92,0.65,0.7,0.64,0.54,0.64,0.5
c_1,0.97,1.13,0.92,1.0,1.29,0.99,0.71,0.66,0.58,0.46,0.49,0.61,0.56,0.52,0.56,0.6
b_1,1.07,1.06,1.03,0.79,1.0,1.35,0.78,0.72,0.65,0.67,0.69,0.6,0.65,0.57,0.62,0.66
a_1,1.32,1.22,1.27,1.02,0.72,1.0,0.86,0.87,0.69,0.71,0.98,0.65,0.68,0.81,0.67,0.49
h_1,1.73,1.31,1.31,1.38,1.25,1.18,1.0,1.01,0.9,0.87,0.89,0.81,0.77,0.77,0.86,0.74
g_1,1.76,1.81,1.28,1.42,1.38,1.14,0.98,1.0,0.89,0.73,0.87,1.02,0.86,0.89,0.8,0.84
c_0,1.62,1.2,1.39,1.69,1.35,1.47,1.16,1.11,1.0,1.09,1.35,1.05,0.92,0.95,0.8,0.94
d_0,1.57,1.46,1.09,2.19,1.52,1.41,1.17,1.43,0.86,1.0,1.01,0.98,0.96,0.82,0.91,1.01
b_0,1.72,1.59,1.44,2.08,1.48,1.1,1.16,1.04,0.71,1.01,1.0,0.94,1.04,1.41,0.95,0.92
f_0,1.74,1.52,1.41,1.66,1.51,1.63,1.25,0.97,0.97,1.03,1.0,1.0,0.98,0.81,0.81,1.32
h_0,1.82,1.7,1.5,1.86,1.6,1.43,1.26,1.17,1.08,1.1,1.0,1.03,1.0,0.89,1.17,0.92
a_0,1.98,1.64,1.74,1.94,1.66,1.1,1.22,1.12,1.07,1.25,0.72,1.14,1.13,1.0,1.04,1.04
g_0,1.91,1.87,1.58,1.87,1.65,1.5,1.15,1.22,1.24,1.16,1.02,1.26,0.87,0.97,1.0,0.94
e_0,2.01,1.84,2.07,1.73,1.51,1.91,1.4,1.18,1.06,0.96,1.14,0.78,1.08,0.99,1.02,1.0
