,f_1,d_1,e_1,c_1,b_1,a_1,h_1,d_0,g_1,c_0,b_0,f_0,h_0,a_0,e_0,g_0
f_1,11080.68,6065.82,10872.81,9797.3,13279.56,41476.1,6942620.2,22137972.87,16093054.63,24305334.03,40693822.44,45521695.2,191951276.41,221338159.95,219520608.38,405603795.77
d_1,5839.32,15422.2,6931.2,7119.86,13912.14,54161.5,7595939.44,15001525.72,18198441.51,46410607.32,47113029.66,64556773.47,201310644.83,260603925.32,358485654.8,521362855.06
e_1,5383.02,6039.89,15424.84,12275.6,12688.2,49947.97,6752941.56,34239978.69,16363599.51,25535887.13,44218194.26,76384222.42,191756770.18,221819358.58,290966844.23,495309211.49
c_1,4953.66,7139.89,5914.79,22936.48,24609.57,57428.65,6072631.53,17426020.15,15570168.46,16375009.32,31423244.98,59905955.02,180230085.99,230099103.22,280149396.72,549254232.5
b_1,4717.83,7492.14,6121.91,8364.47,39295.24,107738.46,6684824.46,17539044.12,15598286.18,24325601.86,23580714.88,67725895.81,183195282.96,165422953.38,301942977.34,542371428.66
a_1,5771.5,6867.88,6774.33,8107.62,16636.76,191617.26,7855477.47,20408193.93,18119120.0,24803152.91,38526607.55,69761033.92,185266416.99,176595476.79,333710119.52,468755095.68
h_1,6751.96,7018.14,7738.39,11719.59,13195.54,55591.43,12872378.59,20254084.72,23132393.75,24032387.78,43214930.34,71909493.04,150677284.22,224122324.97,354049717.2,748075739.7
d_0,5445.59,5664.32,6589.47,17582.05,16454.13,56336.36,7320860.0,29120429.71,16116605.67,17811260.47,43616386.68,75326516.92,196391619.03,247550115.07,367563436.7,552478915.64
g_1,4937.74,10321.75,6366.89,11362.15,14399.51,52228.08,7964068.06,17295303.6,35843406.72,27822496.96,43584701.6,94352372.94,196420869.75,286272451.85,406152545.58,517433810.45
c_0,5697.78,6799.55,8221.96,9491.15,11358.91,61664.01,7899992.95,24738750.15,19142422.48,41833743.67,80219125.87,88819225.13,214324616.61,299745308.28,422500950.3,594259238.58
b_0,5528.37,7348.96,7219.75,12595.54,11393.98,44934.26,7989396.49,22502125.34,19907876.82,27583571.86,67907274.17,77133811.37,241570271.13,502467793.09,473610407.82,618534534.28
f_0,4780.85,6826.47,5543.61,11955.93,17517.01,65818.78,8556752.47,21713588.08,19567025.62,30249573.33,43634060.59,115807779.37,198977434.11,259084955.81,717888528.76,599003984.2
h_0,7612.72,7205.63,7941.34,10680.09,13976.48,45995.29,6002195.78,21139442.38,22819866.51,25889939.33,42944172.06,66224760.31,162052874.83,254707176.22,372073417.52,698582974.39
a_0,5140.56,7569.46,6891.3,11070.82,15620.56,49142.33,9192118.73,22439223.57,17776863.45,29968617.54,48397138.91,83973435.19,231351801.57,465443850.44,412805665.34,682558284.32
e_0,6219.08,6804.29,5421.83,11982.01,16883.91,56582.55,9047331.66,21339684.52,21816392.57,28932453.31,44208074.81,70681779.47,268201195.21,296585574.14,722682427.77,577476129.18
g_0,5390.68,9443.7,6111.95,10520.98,13635.29,63130.79,7023157.51,20793457.73,13975131.44,30368199.11,48645525.33,103836988.7,188603752.42,266012361.05,479464019.6,474209809.61
