,d_1,e_1,f_1,c_1,b_1,a_1,h_1,g_1,c_0,d_0,b_0,f_0,h_0,g_0,a_0,e_0
d_1,1.0,1.25,0.94,0.95,0.89,0.65,0.47,0.33,0.58,0.39,0.44,0.35,0.36,0.29,0.27,0.24
e_1,0.8,1.0,0.69,1.07,0.88,0.77,0.6,0.52,0.44,0.61,0.48,0.38,0.39,0.34,0.33,0.37
f_1,1.06,1.44,1.0,0.95,0.7,0.72,0.47,0.39,0.38,0.41,0.39,0.37,0.31,0.28,0.3,0.32
c_1,1.05,0.94,1.05,1.0,1.26,0.72,0.61,0.51,0.48,0.33,0.27,0.34,0.4,0.41,0.33,0.4
b_1,1.13,1.13,1.43,0.8,1.0,1.14,0.45,0.44,0.5,0.54,0.49,0.43,0.4,0.4,0.28,0.33
a_1,1.54,1.3,1.39,1.39,0.88,1.0,0.67,0.54,0.61,0.59,0.71,0.59,0.55,0.38,,0.4
h_1,2.18,1.6,2.22,1.64,2.34,1.48,1.0,1.22,0.9,0.8,0.79,0.84,0.73,0.77,0.63,0.64
g_1,3.05,1.82,2.41,1.94,2.21,1.74,0.82,1.0,0.78,0.84,0.93,1.02,0.51,0.56,0.76,0.69
c_0,1.81,2.17,2.79,2.34,2.05,1.62,1.08,1.28,1.0,1.08,1.35,0.86,0.97,0.81,0.94,0.73
d_0,2.51,1.5,2.72,2.99,1.88,1.59,1.27,1.28,0.91,1.0,0.84,0.98,0.82,0.79,0.81,0.75
b_0,2.35,2.0,2.58,3.88,1.93,1.42,1.22,1.04,0.73,1.2,1.0,0.83,0.86,0.76,1.28,0.72
f_0,2.85,2.38,2.7,2.83,2.41,1.7,1.17,1.0,1.2,1.09,1.22,1.0,0.96,0.68,0.91,1.1
h_0,2.83,2.57,3.34,2.61,2.39,1.77,1.51,1.94,1.07,1.2,1.12,0.99,1.0,1.11,0.7,0.94
g_0,3.49,2.83,3.38,2.5,2.49,2.58,1.28,1.81,1.21,1.25,1.2,1.53,0.88,1.0,1.02,1.11
a_0,3.6,2.99,3.35,3.04,3.58,,1.52,1.37,1.04,1.26,0.83,1.1,1.5,0.99,1.0,0.96
e_0,3.89,2.85,3.34,2.56,3.21,2.32,1.55,1.4,1.37,1.43,1.43,0.94,1.02,0.9,1.09,1.0
